"%s (Default Template from Locale)","%s (Standaard sjabloon van Lokale)"
"22 Sycamore Fork Road","22 Sycamore Vork Weg"
"Does order have only virtual products (gift cards, virtual products, etc)","Bevat bestelling enkel virtuele producten (cadeaukaarten, virtuele producten, etc.)"
"E-mail","E-mail"
"Edit Printed Template","Bewerk Geprint Sjabloon"
"Edit Printed Template (%s)","Bewerk Geprint Sjabloon (%s)"
"Edit Template","Bewerk Sjabloon"
"Electronics","Electronica"
"Electronics product","Electronica product"
"Email","Email"
"Enable Printed Templates","Stel in werking"
"Fax","Fax"
"First Name","Voornaam"
"Fixed Product Tax Amount","Vast Product Belasting Bedrag"
"Flat Rate - Fixed","Forfaitair Tarief - Vast"
"Font Family","Lettertype Familie"
"Font Size","Lettertype Grootte"
"Footer Height","Voettekst Hoogte"
"Footer Height Measure","Voettekst Hoogte Meting"
"General","Algemeen"
"Gift Cards Block","Cadeaukaarten Blok"
"Gift Cards Block in Base Currency","Cadeaukaarten Blok in Basis Valuta"
"Global Currency Code","Globale Valuta Code"
"Grand Total","Totaal"
"Grand Total Without Tax","Groot Totaal Zonder Belasting"
"Grand Total Without Tax Without Discount Tax","Groot Totaal Zonder Belasting Zonder Korting Belasting"
"Grand Total with Tax","Groot Totaal met Belasting"
"HTC Touch Diamond","HTC Touch Diamond"
"Header Height","Koptekst Hoogte"
"Header Height Measurement","Koptekst Hoogte Meting"
"Hill","Heuvel"
"ID","ID"
"Info Block","Info Blok"
"Insert Footer Separator","Voeg Voettekst Scheidingsbalk In"
"Insert Header Separator","Voeg Koptekst Scheidingsbalk In"
"Insert Variable...","Voeg Variabel in..."
"Insert the grid with items for current template type","Voeg raster met voorwerpen voor huidig sjabloon in."
"Insert the grid with tax information for current template type.","Voeg raster met belasting informatie voor huidig sjabloon type in."
"Invoice","Factuur"
"Invoice Shipping Amount","Factuur Verzending Bedrag"
"Invoiced Balance Amount","Gefactureerd Balans bedrag"
"Invoiced Discount Amount","Gefactureerd Korting Bedrag"
"Invoiced Subtotal Amount Without Tax","Gefactureerd Subtotaal Bedrag Zonder Belasting"
"Invoiced Tax Amount","Gefactureerd Belasting Bedrag"
"Is customer guest","Is klant gast"
"Italic","Cursief"
"Item row","Voorwerp rij"
"Items Grid","Voorwerpen Raster"
"J.","J."
"K.","K."
"Keyboard","Toetsenbord"
"Last Name","Achternaam"
"Load Template","Laad Sjabloon"
"Logitech diNovo Edge Keyboard","Logitech diNovo Edge Toetsenbord"
"Magento","Magento"
"Main Website\nMain Store\nEnglish","Hoofd Website \nHoofd WInkel\nEngels"
"Memory","Geheugen"
"Method Code","Methode Code"
"Method Name","Methode naam"
"Middle Name","Middelste naam"
"Middle Name/Initial","Midden-Naam/Voorletter"
"Mrs.","Mevrouw"
"Negative Adjustment","Negatieve aanpassing"
"Negative Adjustment Amount","Negatieve aanpassing Hoeveelheid"
"New Printed Template","Nieuwe afgedrukt sjabloon"
"New Template","Nieuw Sjabloon"
"Nine West Women's Lucero Pump","Nine West Vrouwen Lucero Pump"
"Nine West Women\'s Lucero Pump","Nine West Vrouwen Lucero Pump"
"No Templates Found","Geen sjablonen gevonden"
"Number","Nummer"
"Option","Optie"
"Order","Bestelling"
"Order Currency Code","Bestel Valutacode"
"PDF Print-outs","PDF Afdrukken"
"PDF aggregator hasn't been found.","PDF-aggregator is niet gevonden."
"PDF renderer adapter hasn't been found.","PDF weergaveprogramma adapter is niet gevonden."
"Page Number","Paginanummer"
"Page Orientation","Pagina Oriëntatie"
"Page Size","Paginaformaat"
"Pages Quantity","Pagina's Aantal"
"Payment Information","Betalingsinformatie"
"Please select entities to print.","Selecteer entiteiten om af te drukken."
"Please select orders to print.","Selecteer orders om af te drukken."
"Position","Positie"
"Positive Adjustment","Positieve Aanpassing"
"Positive Adjustment Amount","Positieve Instelling Bedrag"
"Prefix","Prefixe"
"Preview HTML","Voorbeeld HTML"
"Preview PDF","Voorbeeld PDF"
"Price","Prijs"
"Price with Discount","Prijs met korting"
"Price with Discount Excluding Tax","Prijs met korting, exclusief belasting"
"Price with Tax","Prijs met Belasting"
"Price with taxes","Prijs met belastingen"
"Printed Credit Memo","Gedrukte creditnota"
"Printed Invoice","Uitgeprinte factuur"
"Printed Shipment","Afgedrukte Verzending"
"Printed Shipment Template","Afgedrukte Verzending Sjabloon"
"Printed Template","Afgedrukte Template"
"Printed Template Preview","Afgedrukte Sjabloon Voorbeeld"
"Printed Templates","Afgedrukte Sjablonen"
"Product Name","Productnaam"
"Product SKU","Product SKU"
"Quantity","Hoeveelheid"
"Ramona","Ramona"
"RamonaKHill@teleworm.com","RamonaKHill@teleworm.com"
"Recipient of Gift Message","Ontvanger van Cadeau Bericht"
"Refunded Balance Amount","Terugbetaald Saldo"
"Refunded Customer Balance","Klant terugbetaalde Saldo"
"Refunded Discount Amount","erugbetaald Korting Bedrag"
"Refunded Shipping Amount","Terugbetaalde Verzendings Hoeveelheid"
"Refunded Subtotal Amount Without Tax","Terugbetaald Subtotaal Hoeveelheid exclusief belastingen"
"Refunded Tax Amount","Terugbetaalde Belastings Hoeveelheid"
"Reset","Opnieuw"
"Save","Opslaan"
"Save And Continue Edit","Opslaan en ga door met bewerken"
"Select Template Type","Selecteer Sjabloon Type"
"Sender of Gift Message","Afzender van het Cadeau Bericht"
"Shipment","Verzending"
"Shipping Address","Verzendingsadres"
"Shipping Amount Including Tax","Verzendkosten inclusief belasting"
"Shipping Amount Without Tax","Verzendkosten exclusief belastingen"
"Shipping Discount Amount","Korting op de verzendkosten Hoeveelheid"
"Shipping Excluding Tax","Verzendkosten exclusief BTW"
"Shipping Including & Excluding Tax","Verzendkosten Inclusief & exclusief BTW"
"Shipping Including Tax","Verzendkosten Inclusief Belasting"
"Shipping Method Description","Verzendmethode Beschrijving"
"Shipping Tax Amount","Verzendkosten Belasting"
"Shipping Tax Rate","Verzendkosten belastingtarief"
"Shipping Total Amount","Verzendkosten Totaal bedrag"
"Shoe Size","Schoenmaat"
"Sort Order","Sorteer Bestelling"
"State/Region","Provincie"
"Status","Status"
"Store Currency Code","Winkel Valutacode"
"Store Name","Winkel Naam"
"Street","Straat"
"Street Multiline","Straat Meerdere regels"
"Subtotal","Subtotaal"
"Subtotal Amount Including Tax","Subtotaal inclusief belasting"
"Subtotal Amount WIth Shipping Without Tax","Subtotaal bedrag met Verzendkosten exclusief belastingen"
"Subtotal Amount Without Tax","Subtotaal Hoeveelheid exclusief belastingen"
"Subtotal Excluding Tax","Subtotaal exclusief BTW"
"Subtotal Including & Excluding Tax","Subtotaal Inclusief & exclusief BTW"
"Subtotal Including Tax","Subtotaal inclusief Belasting"
"Subtotal by Tax","Subtotaal van belastingsdiensten"
"Subtotal with Discount","Subtotaal met korting"
"Subtotal with Discount Excluding Tax","Subtotaal met korting, exclusief belasting"
"Subtotal with Discount and Tax","Subtotaal met korting en belasting"
"Suffix","Uitgang"
"System","Systeem"
"Table Header","Tabel Koptekst"
"Table Row","Tabelrij"
"Tax Amount","BTW Bedrag"
"Tax Amount Without Discount","Belasting bedrag zonder korting"
"Tax Grid","Belasting Raster"
"Tax Rate","Belastingniveau"
"Tax Rate(s)","Belastingtarieven"
"Tax Rates","Belastingtarieven"
"Tax Total","Totale Belasting"
"Tax/VAT Number","Belasting/BTW-nummer"
"Telephone","Telefoon"
"Template Content","Inhoud sjabloon"
"Template Information","Sjabloon informatie"
"Template Name","Naam sjabloon"
"Template Type","Sjabloon Type"
"Templates","Sjablonen"
"Texas","Texas"
"Text of Gift Message","Tekst van het Cadeau Bericht"
"The Printed template has been saved.","De gedrukte sjabloon is opgeslagen."
"The printed template has been deleted.","Het afgedrukte sjabloon is verwijderd."
"The template can contain only one footer separator.","Het sjabloon kan slechts één voettekst scheiding hebben."
"The template can contain only one header separator.","Het sjabloon kan slecht één koptekst scheiding hebben."
"There are no printable documents related to selected orders.","Er zijn geen printbare documenten met betrekking tot geselecteerde orders."
"This Printed template no longer exists.","Dit afgedrukt sjabloon bestaat niet meer."
"This widget is available only for printed templates.","Deze widget is alleen beschikbaar voor gedrukte sjablonen."
"Time of Last Update","Tijd van de laatste update"
"Title","Titel"
"Total (ex)","Totaal (ex)"
"Total (inc)","Totaal (inc)"
"Total Adjustment","Totale aanpassing"
"Total Amount Refunded Offline","Totale terug te betalen bedrag Offline"
"Total Amount Refunded Online","Totale terug te betalen bedrag Online"
"Total Canceled Amount","Totaal geannuleerde bedrag"
"Total Discount (Including Store Credit and Gift Cards)","Totale korting (Inclusief winkel Krediet en Waardebonnen)"
"Total Discount Amount","Totale korting Hoeveelheid"
"Total Due Amount","Totaal verschuldigde bedrag"
"Total Gift Cards Amount","Totaal cadeaubonnen Hoeveelheid"
"Total Gift Cards Invoiced Amount","Totaal cadeaubonnen Gefactureerd bedrag"
"Total Gift Cards Refunded Amount","Totaal cadeaubonnen terugbetaalde bedrag"
"Total Invoiced Amount","Totaal Gefactureerd bedrag"
"Total Item Count","Totaal Artikel Aantal"
"Total Items Quantity","Totaal aantal items Hoeveelheid"
"Total Paid","Totaal betaald"
"Total Refunded Amount","Totaal terugbetaalde bedrag"
"Total Refunded Balance Amount","Totaal Terugbetaalde saldo"
"Tracking Numbers","Volgnummers"
"Transactional Emails","Transactionele Emails"
"US","VS"
"Unable to find a Printed Template to delete.","Kan geen afgedrukte sjabloon vinden om te wissen."
"Unknown","Onbekend"
"Used Currently For","Momenteel Gebruikt Voor"
"Weight","Gewicht"
"Weight Of All Items","Gewicht van alle items"
"Width, px","Breedte, px"
"Wrong column name specified.","Verkeerde kolom naam opgegeven."
"Wrong type of PDF aggregator.","Verkeerde type PDF-aggregator."
"Wrong type of PDF renderer adapter.","Verkeerd type PDF weergaveprogramma adapter."
"Your Coupon:","Uw Coupon:"
"Zero Tax","Nul Belasting"
"Zip Code","Postcode"
"Print","Printen"
"Add/Edit","Toevoege/Aanpassen"
"Active only when Printed Template module is disabled","Alleen actief als de Drukmatrijsmodule is uitgeschakeld"
"Load Default Template","Laad de standaardmatrijs"
"Auto Header Height","Automatische Koptekst hoogte"
"Auto Footer Height","Automatische voettekst hoogte"
"Load Sample Template","Laad voorbeeld matrijs"
"Sample Template","Voorbeeld matrijs"
"Template","Sjabloon"
"Measues","Maten"
"Inches","Inches"
"Millimeters","Millimeters"
"Percents","Procenten"
"Page orientation","Pagina Oriëntatie"
"Landscape","Landschap"
"Portrait","Portret"
"Active only when PDF Print-outs module is disabled.","Alleen actief wanneer PDF Print-outs module is uitgeschakeld."
"Sample Template standard","Voorbeeld Sjabloon Standaard"
"Magento Standard","Magento Standaard"
"UK Standard","Britse Standaard"
"French Standard","Franse Standaard"
"German Standard","Duitse Standaard"
"Total Including Tax with Discount","Totaal inclusief belasting met korting"
Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs),Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs)
Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address),Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address)

