Remove,weghalen
"Ordered item is not loaded.","Bestelde product is niet geladen."
"Quote item id is not received.","I.D. van het quote product is niet ontvangen."
"Quote item is not loaded.","Quote product is niet geladen."
"You removed the item.","You removed the item."
"You removed the items.","You removed the items."
"You cannot configure a product.","You cannot configure a product."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"You cannot add a product.","You cannot add a product."
"Order by SKU","Bestelling via SKU"
"SKU not found in catalog.","SKU niet gevonden in de catalogus."
"Availability: Out of stock.","Beschikbaarheid: niet op voorraad."
"The requested quantity is not available.","The requested quantity is not available."
"The product cannot be added to cart in requested quantity.","Het product kan niet worden toegevoegd aan het winkelwagentje in de gevraagde hoeveelheid."
"Please specify the product's options.","Gelieve de product opties verder te specificeren."
"The product cannot be added to cart.","Het product kan niet worden toegevoegd aan het winkelwagentje."
"Please enter a valid number in the ""Qty"" field.","Gelieve een geldig nummer in te voeren in het ""Qty"" veld."
"The product is assigned to another website.","The product is assigned to another website."
"You can add only enabled products.","You can add only enabled products."
"You cannot upload this file.","You cannot upload this file."
"The file is empty.","The file is empty."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU."
"You have not entered a product SKU.","You have not entered a product SKU."
"Failed to add a product to cart by id ""%1"".","Failed to add a product to cart by id ""%1""."
"Something went wrong reordering this product.","Something went wrong reordering this product."
"You added %1 product to your shopping cart.","You added %1 product to your shopping cart."
"You added %1 products to your shopping cart.","You added %1 products to your shopping cart."
"%1 product requires your attention.","%1 product requires your attention."
"%1 products require your attention.","%1 products require your attention."
"Yes, for Specified Customer Groups","Ja, voor speciale klantengroepen"
"Yes, for Everyone","Ja, voor iedereen"
No,Nee
"The file is corrupt.","The file is corrupt."
"This file needs to be in .csv format.","This file needs to be in .csv format."
"%1 item(s) need your attention.","%1 item(s) need your attention."
"Apply Coupon Code","Vul couponcode in"
"Remove Coupon Code","haal couponcode weg"
"The coupon code ""%1"" is not valid.","The coupon code ""%1"" is not valid."
"Shopping Cart Items","items in winkelwagen"
Qty,hoeveelheid
Subtotal,subtotaal
Discount,korting
"Row Subtotal","rij van het subtotaal"
Action,actie
"No ordered items","geen bestelde items"
"Total %1 product(s)","Total %1 product(s)"
Subtotal:,subtotaal
"Excl. Tax","exclusief btw"
Total,totaal
"Incl. Tax","inclusief btw"
"Total incl. tax","totaal inclusief btw"
"Move to Wishlist","ga naar verlanglijstje"
"No item specified.","No item specified."
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
SKU's,SKU's
File,Bestand
"Your csv file must include ""sku"" and ""qty"" columns.","Your csv file must include ""sku"" and ""qty"" columns."
Reset,Opnieuw
"SKU: ",SKU:
"Only <span id=""%1_max_allowed"">%2</span> in stock","Only <span id=""%1_max_allowed"">%2</span> in stock"
"Edit item parameters","Edit item parameters"
Edit,Edit
"Remove item","Remove item"
"Products Requiring Attention","Products Requiring Attention"
Item,Item
"Unit Price","Unit Price"
"Add to Cart","Add to Cart"
Sku,Sku
"File extensions allowed: .csv","File extensions allowed: .csv"
"File must contain two columns, with ""sku"" and ""qty"" in the header row.","File must contain two columns, with ""sku"" and ""qty"" in the header row."
"Add Row","Add Row"
"Remove Row","Remove Row"
"Customer Groups","Customer Groups"
"Apply Coupon","Pas Coupon Toe"
"We couldn't find this wish list.","We couldn't find this wish list."
"Add Products By SKU","Voeg producten toe door SKU"
"Order by SKU Settings","Order by SKU Settings"
"Enable Order by SKU on My Account in Frontend","Enable Order by SKU on My Account in Frontend"
"Shopping Cart Management","manage winkelwagen"
"Order by SKU Description","Bestelling via SKU Omschrijving"
"Display a Link to Loading a Spreadsheet","Geef een link weer om een Spreadsheet te laden"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget"
"Link Text",Linktekst
"The text of the link to the My Account &gt; Order by SKU page","The text of the link to the My Account &gt; Order by SKU page"
"Load a list of SKUs","Laad een lijst met SKU's"
"Order by SKU Template","Bestelling via SKU Template"
