"%s (Default Template from Locale)","%s (Plantilla por defecto de la configuración regional)"
"Price with Discount","Precio con descuento"
"Price with Discount Excluding Tax","Precio con descuento sin impuestos"
"Price with Tax","Precio con impuestos"
"Price with taxes","Precio con impuestos"
"Printed Credit Memo","Registro de crédito impreso"
"Printed Invoice","Factura impresa"
"Printed Shipment","Envío impreso"
"Printed Shipment Template","Plantilla de envío impresa"
"Printed Template","Plantilla impresa"
"Printed Template Preview","Vista preliminar de las plantillas impresas"
"Printed Templates","Plantillas impresas"
"Product Name","Nombre de Producto"
"Product SKU","Producto SKU"
"Quantity","Cantidad"
"Ramona","Ramona"
"RamonaKHill@teleworm.com","RamonaKHill@teleworm.com"
"Recipient of Gift Message","Receptor del mensaje en el regalo"
"Refunded Balance Amount","Cantidad del balance reembolsada"
"Refunded Customer Balance","Balance del cliente reembolsado"
"Refunded Discount Amount","Cantidad de descuento reembolsada"
"Refunded Shipping Amount","Cantidad de envío reembolsada"
"Refunded Subtotal Amount Without Tax","Cantidad de subtotal sin impuestos reembolsada"
"Refunded Tax Amount","Cantidad de impuestos reembolsada"
"Reset","Reiniciar"
"Save","Guardar"
"Save And Continue Edit","Guardar y continuar la edición"
"Select Template Type","Seleccione el tipo de plantilla"
"Sender of Gift Message","Remitente del mensaje de regalo"
"Shipment","Envío"
"Shipping Address","Dirección de Envío"
"Shipping Amount Including Tax","Cantidad de envío incluyendo impuestos"
"Shipping Amount Without Tax","Cantidad de envío sin impuestos"
"Shipping Discount Amount","Cantidad de descuento de envío"
"Shipping Excluding Tax","Envío sin impuestos"
"Shipping Including & Excluding Tax","Envío con y sin impuestos"
"Shipping Including Tax","Envío sin impuestos"
"Shipping Method Description","Descripción del método de envío"
"Shipping Tax Amount","Cantidad de impuestos de envío"
"Shipping Tax Rate","Tipo impositivo de envío"
"Shipping Total Amount","Cantidad total de envío"
"Shoe Size","Talla de calzado"
"Sort Order","Orden de selección"
"State/Region","Estado/región"
"Status","Progreso"
"Store Currency Code","Código de moneda de la tienda"
"Store Name","Nombre de la tienda"
"Street","Calle"
"Street Multiline","Multilínea de calle"
"Subtotal","Subtotal"
"Subtotal Amount Including Tax","Cantidad subtotal con impuestos"
"Subtotal Amount WIth Shipping Without Tax","Cantidad subtotal con envío sin impuestos"
"Subtotal Amount Without Tax","Cantidad subtotal sin impuestos"
"Subtotal Excluding Tax","Subtotal sin impuestos"
"Subtotal Including & Excluding Tax","Subtotal con y sin impuestos"
"Subtotal Including Tax","Subtotal con impuestos"
"Subtotal by Tax","Subtotal por impuestos"
"Subtotal with Discount","Subtotal con impuestos"
"Subtotal with Discount Excluding Tax","Subtotal con descuento sin impuestos"
"Subtotal with Discount and Tax","Subtotal con descuento e impuestos"
"Suffix","Sufijo"
"System","Sistema"
"Table Header","Encabezado de la tabla"
"Table Row","Fila de la tabla"
"Tax Amount","Importe del Impuesto"
"Tax Amount Without Discount","Cantidad de impuestos sin descuento"
"Tax Grid","Pauta de impuestos"
"Tax Rate","Tipo impositivo"
"Tax Rate(s)","Tipo(s) impositivo(s)"
"Tax Rates","Tipo impositivo"
"Tax Total","Importe total de impuestos"
"Tax/VAT Number","Número de impuesto/IVA"
"Telephone","Teléfono"
"Template Content","Contenido de Plantilla"
"Template Information","Información de Plantilla"
"Template Name","Nombre de Plantilla"
"Template Type","Tipo de Plantilla"
"Templates","Plantillas"
"Texas","Texas"
"Text of Gift Message","Texto o mensaje en el regalo"
"The Printed template has been saved.","Se ha guardado la plantilla impresa"
"The printed template has been deleted.","Se ha eliminado la plantilla impresa"
"The template can contain only one footer separator.","La plantilla solo contiene un único separador de pie de página."
"The template can contain only one header separator.","La plantilla solo puede llevar un único separador de encabezado."
"There are no printable documents related to selected orders.","No hay documentos para imprimir de los pedidos seleccionados."
"This Printed template no longer exists.","La plantilla impresa ya no existe."
"This widget is available only for printed templates.","El complemento solo está disponible para las plantillas impresas."
"Time of Last Update","Hora de la última actualización"
"Title","Título"
"Total (ex)","Total (ex)"
"Total (inc)","Total (inc)"
"Total Adjustment","Ajuste total"
"Total Amount Refunded Offline","Cantidad total reembolsada offline"
"Total Amount Refunded Online","Cantidad total reembolsada online"
"Total Canceled Amount","Cantidad cancelada total"
"Total Discount (Including Store Credit and Gift Cards)","Descuento total (incluye crédito de tienda y tarjetas regalo)"
"Total Discount Amount","Cantidad descontada total"
"Total Due Amount","Cantidad debida total"
"Total Gift Cards Amount","Cantidad total de las tarjetas de crédito"
"Total Gift Cards Invoiced Amount","Cantidad total de las tarjetas de regalo en factura"
"Total Gift Cards Refunded Amount","Cantidad total reembolsada de las tarjetas regalo"
"Total Invoiced Amount","Cantidad total en factura"
"Total Item Count","Número total de artículos"
"Total Items Quantity","Cantidad total de artículos"
"Total Paid","Total pagado"
"Total Refunded Amount","Cantidad total reembolsada"
"Total Refunded Balance Amount","Cantidad total de balance reembolsado"
"Tracking Numbers","Buscando los números."
"Transactional Emails","Correos electrónicos transaccionales"
"US","EE. UU."
"Unable to find a Printed Template to delete.","No se pudo hallar una plantilla impresa para eliminar."
"Unknown","Desconocido"
"Used Currently For","Utilizado actualmente para"
"Weight","Peso"
"Weight Of All Items","Peso de todos los artículos"
"Width, px","Tamaño, px."
"Wrong column name specified.","El nombre de columna especificado es erróneo."
"Wrong type of PDF aggregator.","Tipo de agregador de PDF erróneo."
"Wrong type of PDF renderer adapter.","Tipo de adaptador de procesador de PDF erróneo."
"Your Coupon:","Su cupón:"
"Zero Tax","Cero impuestos"
"Zip Code","Código Zip"
"Print","Imprimir"
"Add/Edit","Añadir/Editar"
"Active only when Printed Template module is disabled","Activado solo cuando el módulo Plantilla imprimida está desactivado"
"Load Default Template","Cargar Plantilla por defecto"
"Auto Header Height","Altura de encabezado automática"
"Auto Footer Height","Altura de píe de página automática"
"Load Sample Template","Cargar plantilla de muestra"
"Sample Template","Plantilla de muestra"
"Template","Plantilla"
"Measues","Medidas"
"Millimeters","Milímetros"
"Percents","Porcentajes"
"Page orientation","Orientación de la página"
"Landscape","Apaisado"
"Portrait","Vertical"
"Active only when PDF Print-outs module is disabled.","Activo solo cuando el módulo de impresión de PDF está desactivado."
"Sample Template standard","Plantilla estándar de ejemplo"
"Magento Standard","Magento estándar"
"UK Standard","Estándar de Reino Unido"
"French Standard","Estándar francés"
"German Standard","Estándar alemán"
"Total Including Tax with Discount","Total con impuestos y descuento incluidos"
Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs),Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs)
Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address),Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address)

