Sales,Sprzedaż
Coupon Code,Kod kuponu
No Items Found,Nie znaleziono elementów
Checkout Price Rule,Reguła cenowa dla zamówienia
Use In Layered Navigation,Używane w dynamicznej nawigacji
Invalid Table Rates File Format,Nieprawidłowy format pliku dla stawek wg. tabeli
Website Code,Kod strony
Save Tag,Zapisz tag
Tag Name,Nazwa taga
Manage Currencies,Zarządzaj walutami
Credit Memo was not saved,Dokument kredytowy nie został zapisany
Product Tax Class Information,Informacje o stawce podatku dla produktu
new customer,nowy klient
Unable to find an attribute to delete,Nie znaleziono cechy do usunięcia
Delete Selected Group,Usuń zaznaczoną grupę
Delete Rule,Skasuj regułę
For matching items only,Dla produktów spełniających kryteria
Url,Adres www
Customer Group was successfully saved,Grupa klientów została zapisana
Delete Review,Usuń recenzję
Maximum Qty Discount is Applied to,Maksymalna zniżka ilościowa jest stosowana dla
Grid (default) / List,Wyświetlanie w kolumnach / Lista
Manage Product Attributes,Zarządzaj cechami produktów
New System Template,Nowy szablon systemowy
Website Name,Nazwa strony
Edit Block,Edycja bloku
View,Zobacz
Delete Customer,Usuń klienta
"""Please, select Product Tax Class"",""Wybierz klasę podatku"""
Search was successfully deleted,Usunięto wyszukiwanie
Save Newsletter,Zapisz newsletter
Letters,Litery
Synonym for,Synonim dla
Conditions,Warunki
or,lub
%s Tax Classes,%s klas podatku
Attribute Identifier<br/>(For internal use. Must be unique with no spaces),Identyfikator cechy<br/>(Widoczny tylko dla administratora.Musi być unikalny i nie posiadać spacji)
Convert to Plain Text,Konwertuj na tekst niesformatowany
Apply,Zastosuj
Apply Rules,Zastosuj
Save Search,Zapisz wyszukiwanie
Synonym For,Synonim dla
Review was saved successfully,Recenzja została zapisana
Delete Selected Problems,Usuń zaznaczone problemy
"""Invalid Country """"%s"""" in the Row #%s"",""Nieprawidłowy kraj """"%s"""" w wierszu #%s"""
You cannot delete account of yourself,Nie możesz usunąć swojego konta
From Date,Data od
Number Of Reviews,Ilość recenzji
Manage Label / Options,Zarządzaj Manage Label / Options
Not Sent,Nie wysłane
Discount amount,Wartość zniżki
"""Error while adding a group. Please, try again later."",""Błąd podczas dodawania grupy. Ponów próbę"""
Resume,Resume
Redirect URL,Adres dla przekierowania
Invoice was charged succesfully,Faktura została dodana
Sort order,Kolejność wyświetlania
Delete Store,Usuń sklep
Doc Number,Numer dokumentu
Edit Answer '%s',Edycja odpowiedź '%s'
All types,Wszystkie rodzaje
Subtotal,Podsuma
Coupon code,Kod kuponu
User Information,Informacje o użytkowniku
Add new Role, Dodaj nową grupę uprawnień
# of Use,ilość użyć
New Customer Group,Nowa grupa klientów
For all types of checkout,Dla wszystkich typów realizacji zamówienia
New Newsletter Template,Nowy szablon newslettera
User Info,Informacje o użytkowniku
Edit Tag,Edycja taga
Error while saving this rate. Please try again later.,Nastąpił błąd podczas zapisu stawki. Ponów próbę.
Customer Group was successfully deleted,Grupa klientów została usunięta
New Customer Tax Class,Nowa klasa podatku dla klienta
Block was successfully saved,Blok został zapisany
Online,Online
Queue Finish,Koniec kolejki
Class Name,Nazwa klasy
Stores,Sklepy
Role ID,ID grupy
Rate With %s,Oceń z %s
Poll information,Informacje o ankiecie
Poducts Report,Raport dla produktów
Edit Search,Edycja kryteriów wyszukiwania
Last date subscribed,Data ostatniej subskrypcji
Add,Dodaj
Datetime,Datetime
Default Qty,Domyślna ilość
Are you sure you want to cancel this order?,Czy na pewno chcesz anulować to zamówienie?
Edit Poll,Edycja ankiety
Category deleted,Kategoria została usunięta
Qty To Add,Ilość do dodania
Backend Model,Model administracyjny
User was successfully saved,Użytkowik został usunięty
Create Product Settings,Stwórz ustawienia dla produktu
From,Z
Newsletter Information,Informacje o newsletterze
Select Configurable Attributes ,Wybierz konfigurowalne cechy
Attribute Information,Informacje o cesze
Store Information,Informacje o sklepie
n/a,n/d
Edit Website,Edycja strony
Edit Set Name,Edycja nazwy zestawu
Tax rate was successfully saved,Stawka podatku została usunięta
Billing Address,Adres płatnika
Rules were successfully applied,Reguły zostały zastosowane
This search no longer exists,To wyszukiwanie już nie istnieje
This attribute shares the same value in all the stores,Ta cecha posiada tą samą wartość we wszystkich sklepach
Data Type for Saving in Database,Typ danych do zapisania w bazie
Tag was successfully saved,Tag został zapisany
Use advanced conditions,Użyj zaawansowanych warunków
Save,Zapisz
Type,Rodzaj
Purchased at,Kupiono w
Enable,Włącz
Recipients,Odbiorcy
Permission,Uprawnienia
Promo,Promocja
Class Details,Szczegóły klasy
Category saved,Kategoria została zapisana
Name In %s,Nazwa w %s
Zip/Postal Code,Kod pocztowy
Empty,Pusty
Product Name,Nazwa produktu
NOT LOGGED IN,NIE ZALOGOWANY
Role successfully deleted.,Grupa uprawnień została usunięta
Edit Search '%s',Edycja wyszukiwania '%s'
Tax rule was successfully deleted,Reguła podatku została usunięta
None,Brak
Per Order,Na zamówienie
Number Added,Ilość dych
For shipment with matching items,Dla wysyłki i produktów spełniających kryteria
Tax rates file has been successfully imported,Stawki podatkowe zostały zaimportowane
Ship to Firstname,Imię (dostawa)
New Search,Nowe wyszukiwanie
Edit Rule,Edycja reguły
Letters(a-z) or Numbers(0-9),Litery(a-z) lub liczby(0-9)
Visible on Catalog Pages on Front-end,Widoczny w sklepie
Edit User '%s',Edycja użytkownika '%s'
Rule Information,Informacje o regule
CSV,CSV
Submit Order,Wyślij zamówienie
Options,Opcje
Edit Customer Group,Edycja grupy klientów
Delete,Usuń
Error while saving this group. Group with the same name already exists.,Błąd podczas zapisywania danych grupy. Grupa o takiej samej nazwie już istnieje.
Last date unsubscribed,Data ostatniego wypisania z newslettera
Text Area,Pole typu textarea
Queue Newsletter,Kolejka newslettera
Bought From,Kupione od
Visitor,Odwiedzający
New Product Attribute,Nowa cecha produktu
Currency,Waluta
Error while deleting this set.,Błąd w trakcie kasowania zestawu.
Please select a product,Wybierz produkt
User Role,Uprawnienia użytkownika
Assigned Role,Przypisany poziom uprawnień
Date Created,Data utworzenia
SKU,Kod producenta
Conditions and Actions,Warunki i działania
Pause,Pauza
Review,Recenzja
Integer Number,Wartość typu int (integer)
Option Label,Nazwa opcji
Recently Compared,Ostatnio porównywane
Start,Start
Rates,Stawki
Bundle,Zestaw
Save Answer,Zapisz odpowiedź
Number of Uses,Ilość użyć
Delete Rate,Skasuj stawkę
Shopping Cart,Koszyk
Save Customer,Zapisz klienta
Apply To,Zastosuj do
Website,Witryna
Template Subject,Tytuł szablonu
Attribute Properties,Właściwości cech
Customer was successfully saved,Klient został zapisany
Create Credit Memo,Stwórz dokument kredytowy
Order #%s,Zamówienie nr.%s
Shipping Address,Adres dostawy
Attribute Identifier,Identyfikator cechy
Globally Editable,Edytowalne globalnie
Category Data,Dane kategorii
Customer Tax Class Information,Informacje o klasie podatku klienta
Selected subscribers were successfully added to the selected queue,Zaznaczeni subskrybenci zostali dodani do kolejki
Date,Data
Nickname,Nick
Customers Tagged Product,Tagi dodane przez klienta
Product Rating,Ocena produktu
Edit %s Tax Class Title,Edycja tytułu klasy podatku %s
Customer Groups,Grupy klientów
Text Field,Pole tekstowe
Enabled,Włączony
All,Wszystkie
Integer,
Bill to Lastname,Nazwisko (płatnik)
Backup,Kopia zapasowa
Dropdown,Lista rozwijana
New Store,Nowy sklep
Product Tags (Total),Tagi produktu (w sumie)
Toggle Editor,Włącz/wyłącz edytor
Code,Kod
Search Information,Informacje o wyszukiwaniu
Option Title,Tytuł dla opcji
ZIP/Post Code,Kod pocztowy
Tax class was successfully saved,Stawka podatku została zapisana
Name<br/>(For internal use),Nazwa<br/>(do użytku wewnętrznego)
Qty,Ilość
Rating Title,Nazwa oceny
Advanced Conditions,Zaawansowane warunki
Tax Class,Klasa podatku
Keywords,Słowa kluczowe
New Rule,Nowa reguła
Fixed amount discount,Zniżka o stałej wartości
Redirect,Przekierowanie
You cannot edit this attribute,Nie możesz edytować tej cechy
Unsubcribed,Wypisany z newslettera
Edit Invoice #%s,Edycja faktury nr.%s
Add Group,Dodaj grupę
DB,Baza danych
Tier Pricing,Poziomy cen
New Email Template,Nowy szablon email
Results,Wyniki
First Name,Imię
Save Poll,Zapisz ankietę
Product Attribute Sets,Zestawy cech produktu
Save Category,Zapisz kategorię
Customer Information,Informacje o kliencie
Create New Order,Utwórz zamówienie
"""Invalid Region/State """"%s"""" in the Row #%s"",""Nieprawidłowe województwo """"%s"""" w wierszu #%s"""
This invoice no longer exists,Ta faktura już nie istnieje
Create New Credit Memo,Utwórz nowy dokument kredytowy
New Customer Groups,Nowe grupy klientów
Bought from wishlists,Kupione z poziomu listy życzeń
Products Tagged with '%s',Produkty oznaczone tagiem '%s'
Edit Role,Edycja grupy uprawnień
Edit Order,Edycja zamówienia
Edit Rating,Edycja oceny
Add New Block,Dodaj nowy blok
New Credit Memo for Invoice #,Nowy dokument kredytowy dla faktury nr.
Name,Nazwa
Not activated,Nieaktywny
Invalid request,Nieprawidłowe żądanie
Exclude multi-address checkout,Wyklucza dostawę do wielu adresów
Add New Attribute Set,Nowy zestaw cech produktów
Delete Invoice,Usuń fakturę
Wrong column format,Nieprawidłowy format kolumny
Edit Order #%s,Edycja zamówienia nr.%s
Review was successfully saved,Recenzja została zapisana
All Stores,Wszystkie sklepy
Summary of Review,Podsumowanie recenzji
Date Posted,Data wysłania
Qty Shipped,Ilość dostarczona
Save config,Zapisz zmiany
Invoice was successfully charged,Faktura została opłacona
Actions,Akcje
Export,Eksport
Please select State,Wybierz województwo
All countries,Wszystkie państwa
Selected problems successfully deleted,Zaznaczone problemy zostały usunięte
Save Store,Zapisz sklep
Percent of product price discount,Procent zniżki dla ceny produktu
Save Page,Zapisz stronę
Error while saving this tax class. Please try again later.,Nastąpił błąd podczas próby zapisania stawki podatku. Ponów próbę.
Customers Only,Tylko klienci
Catalog Price Rule,Reguła cenowa dla strony
Customer doesn't have primary billing address,Klient nie posiada podstawowego adresu płatnika
Virtual Products,Produkty wirtualne
Add New Answer,Dodaj nowe pytanie
Unable to find a poll to delete,Nie można znaleźć ankiety do usunięcia
All tags,Wszystkie tagi
%s Tax Classes Title,%s tytuł klasy podatku
Product name,Nazwa produktu
(Will make search for the query above return results for this search.),(Pozwoli zwrócić wyniki wyszukiwania dla tego synonimu)
Subcribed,Zapisany na newsletter
Edit Group,Edycja grupy
Number Viewed,Ilość wyświetleń
Rating Information,Informacje o ocenie
Bill to Firstname,Imię (płatnik)
Attribute set successfully saved.,Zestaw cech został zapisany
Attribute Model,Attribute Model
Error while saving this tax rule. Please try again later.,Nastąpił błąd podczas próby zapisania klasy podatku. Ponów próbę.
Attribute with the same code already exists,Cecha o podanym kodzie już istnieje
Qty Returned,Ilość zwrócona
Delete Template,Usuń szablon
Add Answer,Dodaj odpowiedź
Add New Tag,Dodaj nowy tag
Save Review,Zapisz recenzję
Answer was successfully saved,Odpowiedź została zapisana
Delete Search,Usuń warunek
New Poll,Nowa ankieta
"""Please, select Rate"",""Wybierz stawkę"""
Save Role,Zapisz poziom uprawnień
All rates were imported,Wszystkie stawki zostały zaimportowane
Reviews,Recenzje
Edit Invoice,Edycja faktury
Multiple Select,Pole wielokrotnego wyboru
Visible,Widoczny
Rating,Ocena
Template Name,Nazwa szablonu
Product Type,Typ produktu
Please select a customer,Wybierz klienta
Tax rate was successfully deleted,Stawka podatku została usunięta
Free ground shipping,Bezpłatna dostawa pocztą lądową
Default price,Domyślna cena
Disabled,Wyłączony
No description,Brak opisu
Delete Tag,Usuń tag
Product saved,Produkt został zapisany
Please select a store,Wybierz sklep
This rule no longer exists,Reguła nie istnieje
This rule no longer exists,Reguła nie istnieje
Ratings,Oceny
Save Currency,Zapisz walutę
Ship to Last name,Nazwisko (dostawa)
Add New Search,Dodaj nowe wyszukiwanie
Delete Poll,Usuń ankietę
Priority,Priorytet
Product Reviews,Recenzje produktów
Invoice was not charged,Faktura nie została zapłacona
Sent,Wysłane
Assigned Options,Przypisane opcje
Tax rule was successfully saved,Reguła dla podatku została zapisana
IP Address,Adres IP
Settings,Ustawienia
Queue Subject,Tytuł kolejki
Add New Category,Dodaj nową kategorię
Inactive,Nieaktywny
Add New Customer,Dodaj nowego klienta
Apply To Configurable/Grouped Product,Zastosuj dla konfigurowalnych / grupowanych produktów
Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown'),Używane w dynamicznej nawigacji<br/>(można używać tylko z rozwijanymi listami)
Customer was deleted,Klient został usunięty
Please fill in 'email' field.,Uzupełnij pole 'email'.
Qty Cancelled, Anulowana ilość
Sending,Wysyłanie
Searchable on Front-end,Możliwe wyszukiwanie w sklepie
Duplicate,Duplikat
Wrong tab configuration,Zła konfiguracja zakładek
Add New Page,Dodaj nową stronę
"""Edit """"%s"""""",""Edytuj """"%s"""""""
Submit Invoice,Wyślij fakturę
Product duplicated,Produkt zduplikowany
Delete Role,Skasuj grupę uprawnień
Identifier,Identyfikator
Poll Answers,Odpowiedzi do ankiety
Wishlists,Listy życzeń
Last Url,Ostatni adres URL
Edit Block '%s',Edycja bloku '%s'
Tax Rule Information,Informacje o regule dla podatku
Edit Class Details,Edycja szczegółów klasy
Rule was successfully deleted,Ręta
Attribute Set,Zestaw cech
Customer View,Widok klienta
Sender Email,Adres email nadawcy
Products Tags,Tagi produktów
HTTP (unsecure),HTTP (nieszyfrowany)
Add Option,Dodaj opcję
Shipping Price,Cena dostawy
Edit Website '%s',Edycja witryny '%s'
Create New Customer,Utwórz klienta
Edit Newsletter,Edycja newslettera
# of Uses,ilość użyć
Number of times deleted,Ile razy skasowano
Newsletter Finish,Koniec newslettera
Closed,Zakmnięty
Edit Page '%s',Edycja strony '%s'
Product deleted,Produkt został usunięty
Preview,Podgląd
Save Attribute Set,Zapisz zestaw cech
Store was successfully saved,Sklep został zapisany
You have not enought permissions to login.,Nie masz uprawnień aby się zalogować
Product Attributes,Cechyuktów
Return Html Version,Przełącz na wersję HTML
Save Order,Zapisz zamówienie
There are no items in customer's shopping cart at the moment, Aktualnie klient nie posiada żadnych produktów w koszyku
Group Information,Informacje o grupie
User Name,Nazwa użytkownika
New Password,Nowe hasło
Average rating,Średnia ocena
New User,Nowy użytkownik
Active,Aktywny
You can not delete self assigned roles.,Nie możesz usuwać samodzielnie przypisanych grup
Invoice was successfully saved,Faktura została usunięta
Qty Ordered,Ilość zamówiona
XML,XML
Send auto-generated password,Wyślij automatycznie wygenerowane hasło
Order Information,Informacje o zamówieniu
List (default) / Grid,Lista (domyślna) / Widok kolumnowy
Newsletter Received,Newsletter otrzymany
Queue Date Start,Start kolejki
SEF URL Identifier,Identyfikator adresu SEO
Product SKU,Kod producenta produktu
Grand Total,Suma całkowita
Selected problem subscribers successfully unsubscribed,Subskrybenci dla których wystąpił zaznaczony problem zostali usunięci
Category Products,Produkty kategorii
Action,Akcja
Role Users,Grupa użytkowników
Date Closed,Data zamknięcia
Are you sure? This order will be cancelled and a new one will be created instead,Czy jesteś pewien? To zamówienie zostanie usunięte a w miejsce niego zostanie utworzone nowe
Sender Name,Nazwa nadawcy
Approved,Zaakceptowane
Save and Apply,Zapisz i zastosuj
Product Tax Class,Klasa podatku dla produktu
Block was succesfully deleted,Blok został usunięty
Products Report (Total),Raport produktów (sumaryczny)
Open,Otwarty
Any,Jakikolwiek
Edit Store,Edycja sklepu
Added,Dodany
Configurable Product Settings, Ustawienia produktów konfigurowalnych
Content,Zawartość
Role Name,Nazwa poziomu uprawnień
Select All,Zaznacz wszystkie
in,w
Are you sure you want to take this action?,Czy na pewno?
Role Information,Informacje o poziomie uprawnień
Options Control,Kontrola opcji
Meta Keywords,Słowa kluczowe META
Please select products to add,Zaznacz produkty do dodania
Sender,Nadawca
Product,Produkt
Tax Rules,Reguły podatków
Newsletter Start,Start newslettera
Unable to find a block to delete,Nie można znaleźć bloku do usunięcia
New Tax Rate,Nowa stawka podatku
Rating was successfully deleted,Ocena została usunięta
Error during import: %s,Błąd podczas importu: %s
Delete Answer,Usuń odpowiedź
Edit Customer Groups,Edycja grup klientów
"""Please, select County"",""Wybierz państwo"""
Customer Tags,Tagi klientów
(eg: domain.com/identifier),(np: domena.com/identyfikator)
No search modules registered,Brak zarejestrowanych modułów wyszukiwania
New Product Tax Class,Nowa klasa podatku dla produktu
Save Rule,Zapisz regułę
Edit Sorting,Edycja kolejności
The block you are trying to save no longer exists,Blok który próbujesz zapisać nie istnieje
Customers Report,Raporty klientów
Download,Pobieranie
Detail,Szczegóły
Created On,Utworzono
Category delete error,Błąd w trakcie kasowania kategorii
Review successfully deleted,Recenzja została usunięta
Root,Nadrzędny
ID,ID
Number of Responses,Ilość odpowiedzi
Meta Description,Opis META
Source Model,Model źródłowy
Unselect All Stores,Odznacz wszystkie sklepy
Add New Group,Dodaj nową grupę
Summary Rating,Podsumowanie oceny
Rate,Stawka
Yes,Tak
Search Query,Zapytanie do wyszukiwarki
Template Information,Informacje o szablonie
Date Start,Data rozpoczęcia
Total,Sumarycznie
Price,Cena
Filterable (no results),Filtrowalne (brak wyników)
Date Expire,Data wygaśnięcia
Number Fulfilled,Ilość wystarczająca do realizacji zamówienia
New Category,Nowa kategoria
Save Rating,Zapisz ocenę
Delete Option, Usuń opcję
Save Invoice,Zapisz fakturę
Unable to apply rules,Nie udało się zastosować reguł
New Tag,Nowy tag
User Email,Email użytkownika
Based On,Bazujący na
Edit Customer's Address,Edycja adresu klienta
New Order,Now zamówienie
Group Name,Nazwa grupy
Tax Rate Information,Informacje o stawce podatku
Queue Information,Informacje o kolejce
Guest,Gość
Varchar,Wartość typu varchar
Number of results<br/>(For last time placed),Ilość wyników<br/>(od ostatniego razu)
Add New Customer Group,Dodaj nową grupę klientów
Product attribute was successfully deleted,Cecha produktu została usunięta
Unable to find answer to delete.,Nie znaleziono odpowiedzi do usunięcia
Unable to find a tag to delete,Nie znaleziono taga do usunięcia
Meta Data,Dane META
Save User,Zapisz użytkownika
Template Type,Typ szablonu
"""Invalid %s """"%s"""" in the Row #%s"",""Błędny %s """"%s"""" w wierszu #%s"""
Reset,Resetuj
Hits,Kliknięć
Page was successfully deleted,Strona została usunięta
Page Title,Tytuł strony
User with the same User Name or Email aleady exists,Użytkownik o takim loginie lub adresie email już istnieje
Customers Tagged '%s',Oznaczone przez klientów '%s'
Region/State,Województwo
Values Required,Wartości wymagane
This order no longer exists,Takie zamówienie nie istnieje
Account status,Status konta
Product Tags,Tagi produktów
Item Status,Status produktu
Interface Language,Język interfejsu
Cancelled,Anulowane
Position,Pozycja
Items Ordered,Ilość zamówiona  
Rating was successfully saved,Ocena została usunięta
New Product,Nowy produkt
Purchase On,Kupiono  
Fiterable (with results),Filtrowalny (z wynikami)
Password,Hasło
Shipped to First Name,Imię (dostawa)
Catalog Input Type for Store Owner,Catalog Input Type for Store Owner
Decimal Number,Wartość liczbowa
Wishlist,Lista życzeń
Create New Invoice,Utwórz nową fakturę
Credit Memo was saved succesfully,Dokument kredytowy został zapisany
Tax Rates,Stawki podatku
Submit Credit Memo,Wyślij dokument kredytowy
