"# of Use","Номер использования"
"Invoice was successfully charged","Счёт успешно оплачен"
"Invoice was successfully saved","Счёт успешно сохранён"
"Invoice was updated succesfully","Счёт успешно обновлён"
Invoices,Счета
"IP Address","IP адрес"
"Item Status","Статус товара"
"Items in Cart","Товаров в корзине"
"Items Ordered","Заказанные товары"
"Items Shipped","Доставлено единиц"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Товары, которые Вы не хотите показывать в каталоге или в результатах поиска, должны иметь статус 'Выключен' в магазине."
Keywords,"Ключевые слова"
Language,Язык
"Last Activity","Последняя активность"
"Last date subscribed","Дата последней подписки"
"Last date unsubscribed","Дата последнего отказа от пописки"
"Last Log In: %s (%s)","<strong>Послдений вход:</strong> %s (<strong>%s</strong>)"
"Last Modified","Дата изменения"
"Last Name",Фамилия
"Last Review","Последний отзыв"
"Last Url","Последний Url"
Layout,Шаблон
Letters,Письма
"Letters(a-z) or Numbers(0-9)","Алфавит(а-я) или числа(0-9)"
"Lifetime Sales",Распродажи
"List (default) / Grid","Список (по умолчанию) / Сетка"
"List only","Только список"
Loading...,Загрузка...
"Log in to Admin Panel","<em>Войти</em> в админку"
"Log into Magento Admin Page","Войти в админку"
"Log Out",Выйти
"Logged in as %s","Вошёл как <strong>%s</strong>"
Login,Войти
"Magento &trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007.","Magento &trade; - зарегистрированная торговая марка компании Irubin Consulting Inc. DBA <a href=""http://www.varien.com"" target=""varien_external"">Varien</a>. &copy; Copyright 2007. Перевод на русский <a href=""http://kypi.ru"" target=""varien-external"">Александр Меновщиков</a>"
"Magento Admin","Админка мадженто"
"Magento Commerce - Administrative Panel","Мадженто - Русская версия - Админка"
"Magento Logo","Логотип мадженто"
"Magento ver. %s","Мадженто <strong>версия %s</strong>"
"Manage Attribute Sets","Настройка наборов атрибутов"
"Manage Attributes","Настройка атрибутов"
"Manage Blocks","Управление блоками"
"Manage Catalog Categories","Управление категориями каталога"
"Manage Categories","Управление категориями"
"Manage Currencies","Управление валютами"
"Manage Currency","Управление валютами"
"Manage Customers","Управление покупателями"
"Manage Label / Options","Управление метками / настройками"
"Manage Options (values of your attribute)","Управление опция (значениями Вашего атрибута)"
"Manage Pages","Управление страницами"
"Manage Product Attributes","Управление атрибутами товаров"
"Manage Product Sets","Управление наборами товаров"
"Manage Products","Управление товарами"
"Manage Ratings","Управление рейтингами"
"Manage Tax Rates","Настройка ставок налогов"
"Manage Tax Rules","Настройка правил налогов"
"Manage Titles (Size, Color, etc.)","Управление заголовками (Размер, Цвет и т.д.)"
"Matching Products","Найденные товары"
"Maximum Qty Discount is Applied to","Скидка на максимум единиц добавлена к"
Message,Сообщение
"Meta Data","Мета данные"
"Meta Description","Meta Description"
"Meta Information","Мета данные"
"Meta Keywords","Meta Keywords"
"Move Item to:","Переместить в:"
"Multiple Select","Множественный выбор"
"My Account","Мои данные"
n/a,"нет данных"
N/A,"Нет данных"
Name,Имя
"Name In %s","Название в %s"
"Name In Store","Название магазина"
"Name on the Card","Имя на карточке"
"Name on the Card: %s","<strong>Имя на карточке:</strong> <span class=""nowrap"">%s</span>"
"Name<br/>(For internal use)","Имя<br/>(Для внутреннего использования)"
Never,Никогда
"New Address","Новый адрес"
"New Block","Новый блок"
"New Category","Новая категория"
"New Credit Memo for Invoice #","Новая информация о кредитной карточке для счёта номер"
"New Currency","Новая валюта"
"new customer","новый покупатель"
"New Customer","Новый покупатель"
"New Customer Address","Новый адрес покупателя"
"New Customer Group","Новая группа покупателей"
"New Customer Groups","Новая группа покупателей"
"New Customer Tax Class","Новый налог покупателя"
"New Email Template","Новый шаблон письма"
"New Group","Новая группа"
"New Invoice for Order #%s","Новый счёт для заказа номер %s"
"New Newsletter Template","Новый шаблон рассылки"
"New Order","Новый заказ"
"New Page","Новая страница"
"New Password","Новый пароль"
"New Poll","Новый опрос"
"New Product","Новый товар"
"New Product Attribute","Новый атрибут товара"
"New Product Tax Class","Новый налог товара"
"New Rating","Новый рейтинг"
"New Review","Новый отзыв"
"New Rule","Новое правило"
"New Search","Новый поиск"
"New Set Name","Новое название набора"
"New Store","Новый магазин"
"New System Template","Новый системный шаблон"
"New Tag","Новый тэг"
"New Tax Rate","Новая ставка налога"
"New Tax Rule","Новое правило налога"
"New Template","Новый шаблон"
"New User","Новый пользователь"
"New Website","Новый веб сайт"
Newsletter,Рассылка
"Newsletter Finish","Завершить рассылку"
"Newsletter Information","Информация о рассылке"
"Newsletter Message Preview","Предварительный просмотр рассылки"
"Newsletter Problem Reports","Отчёты о проблемах рассылки"
"Newsletter Queue","Рассылки на очереди"
"Newsletter Received","Рассылка получена"
"Newsletter Start","Начать рассылку"
"Newsletter Subscribers","Подписчики рассылки"
"Newsletter Subscription","Подписка на рассылку"
"Newsletter Templates","Шаблоны рассылки"
"Next page","Следующая страница"
Nickname,"Имя пользователя"
No,Нет
"No description","Нет описания"
"No Items Found","Записей не найдено"
"No Newsletter Found","Рассылка не найдена"
"No problems found","Проблемы не найдены"
"No records found.","Записи не найдены."
"No search modules registered","Поисковые модули не зарегистрированы"
"No Templates Found","Шаблоны не найдены"
None,Нет
"Not activated","Не активирован"
"NOT LOGGED IN","НЕ ВОШЁЛ В МАГАЗИН"
"Not Sent","Не отправлен"
"Number Added","Добавлено количество"
"Number Fulfilled","Количество исполнений"
"Number of items bought from a wishlist: %s","Количество единиц, купленных их отмеченных товаров: %s"
"Number of Responses","Количество ответов"
"Number of results<br/>(For last time placed)","Количество результатов<br/>(За последнее время)"
"Number Of Reviews","Количество отзывов"
"Number of Reviews","Количество отзывов"
"Number of times deleted","Количество удалений"
"Number of times wishlists have been shared (emailed): %s","Отмеченные товары были отправлены раз: %s"
"Number of Total Tags","Количество тэгов"
"Number of Unique Tags","Количество уникальных тэгов"
"Number of Uses","Количество использований"
"Number of wishlist conversions: %s","Количество конверсий из отмеченных товаров: %s"
"Number of wishlist referrals: %s","Количество ссылающихся источников на отмеченные товары: %s"
"Number of wishlists: %s","Количество отмеченных товаров: %s"
"Number Purchased","Количество покупок"
"Number Viewed","Количество просмотров"
"of %s pages","из &nbsp;<strong>%s</strong>"
Offline,Офлайн
Online,Онлайн
"Online Customers","Покупатели в онлайне"
Open,Открыт
Option,Опция
"Option Label","Метка опции"
"Option Title","Название опции"
"Option Title:","Название опции:"
Option:,Опция:
Options,Настройки
"Options Control","Настройки опций"
or,или
"Order #",Номер
"Order #%s","Заказ номер %s"
"Order #%s (%s)","Заказ номер %s (%s)"
"Order Comment:","Комментарий к заказу:"
"Order Date: %s","Дата заказа: %s"
"Order History","История заказа"
"Order Information","Информация о заказе"
"Order Status","Статус заказа"
"Order status was successfully changed","Статус заказа успешно изменён"
"Order Status: %s","Статус заказа: %s"
"Order Total","Заказ итого"
"Order Totals","Заказ итого"
"Order was not cancelled","Нет не отменён"
"Order was not changed","Заказ не был изменён"
"Order was successfully cancelled","Заказ успешно отменён"
Orders,Заказы
Page,Страница
"Page Information","Информация о странице"
"Page Status","Статут страницы"
"Page Title","Заголовок страницы"
"Page was successfully deleted","Страница успешно удалена"
"Page was successfully saved","Страница успешно сохранена"
"Parent Category","Родительская категория"
Password,Пароль
"Password Confirmation","Подтверждение пароля"
"Password Management","Управление паролем"
Password:,Пароль:
Pause,Приостановить
Paused,Остановлен
"Payment Method","Способ оплаты"
Pending,"Ожидают проверки"
"Pending Reviews","Непроверенные отзывы"
"Pending Tags","Непроверенные тэги"
"Per Item","За единицу"
"Per Order","За заказ"
"per page","на страницу"
"Percent of product price discount","Процент скидки от стоимости товара"
Percentage,Процент
Permission,Доступ
Permissions,"Права доступа"
"Personal Information","Персональная информация"
"Physical Products","Материальные товары"
"Please add one or more options","Пожалуйста, выберите как минимум одну опцию"
"Please confirm site switching. All data that hasn't been saved will be lost.","Пожалуйста,подтвердите переключение сайта. Все данные, которые не будут сохранены, будут потеряны."
"Please enter a new group name","Пожалуйста, укажите название новой группы"
"Please fill in 'email' field.","Пожалуйста, заполните поле 'email'."
"Please make sure that all global admin search modules are installed and activated.","Пожалуйста, убедитесь, что все глобальные модули поиска установлены и активированы."
"Please select a customer","Пожалуйста, выберите покупателя"
"Please select a product","Пожалуйста, выберите товар"
