Remove,Entfernen
"Reward Points refunded to customer","An den Kunden zurückerstattete Prämienpunkte"
Points,Punkte
Reason,Grund
"Expires on %1","Expires on %1"
"There is no balance history.","There is no balance history."
"Reward points balance Information","Informationen über das Prämienpunkte-Guthaben"
"Learn more","Learn more"
"Your balance is %1.","Your balance is %1."
"Current exchange rates:","Aktuelle Wechselkurse:"
"Each %1 can be redeemed for %2.","Each %1 can be redeemed for %2."
"Each %1 spent will earn %2.","Each %1 spent will earn %2."
None.,Nichts.
"Balance limitations:",Guthaben-Begrenzungen:
"The balance is capped at %1.","The balance is capped at %1."
"Maximum balance is reached","Maximum balance is reached"
"Balance Redemption Threshold: %1.","Balance Redemption Threshold: %1."
"You do not have the minimum balance you need to redeem your rewards points.","You do not have the minimum balance you need to redeem your rewards points."
"Each earned reward points record expires in %1 days.","Each earned reward points record expires in %1 days."
"Refer to reward points history to see if and when a specific record expires.","Refer to reward points history to see if and when a specific record expires."
"Email Notification Settings",E-Mail-Benachrichtigungs-Einstellungen
"Save Subscription Settings","Abonnement-Einstellungen speichern"
"Your current balance is %1.","Your current balance is %1."
"Reward Points Rates",Prämienpunkte-Kurse
"Amount Balance",Guthaben-Betrag
"Check out now and earn %1 for this order.","Check out now and earn %1 for this order."
"Log in now and earn %1 for this order.","Log in now and earn %1 for this order."
"Register on our site now and earn %1.","Register on our site now and earn %1."
"Subscribe to our newsletter now and earn %1.","Subscribe to our newsletter now and earn %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Send this invitation now and earn %s when your invitee signs up on our site."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","Submit a review now and earn %1 after the review is approved."
"You can reward up to %1 new reviews(s).","You can reward up to %1 new reviews(s)."
