Remove,Eliminar
"Reward points balance Information","Información de balance de puntos de gratificación"
"Learn more","Learn more"
"Your balance is %1.","Your balance is %1."
"Current exchange rates:","Tarifas de cambio actuales:"
"Each %1 can be redeemed for %2.","Each %1 can be redeemed for %2."
"Each %1 spent will earn %2.","Each %1 spent will earn %2."
None.,Ninguno(a).
"Balance limitations:","Límites de saldo:"
"The balance is capped at %1.","The balance is capped at %1."
"Maximum balance is reached","Maximum balance is reached"
"Balance Redemption Threshold: %1.","Balance Redemption Threshold: %1."
"You do not have the minimum balance you need to redeem your rewards points.","You do not have the minimum balance you need to redeem your rewards points."
"Each earned reward points record expires in %1 days.","Each earned reward points record expires in %1 days."
"Refer to reward points history to see if and when a specific record expires.","Refer to reward points history to see if and when a specific record expires."
"Email Notification Settings","Configuración de notificación por correo electrónico"
"Save Subscription Settings","Guardar configuración de subscripción"
"Your current balance is %1.","Your current balance is %1."
"Landing Page","Landing Page"
"Email Sender","Email Sender"
"Enable Reward Points Functionality","Enable Reward Points Functionality"
"Enable Reward Points Functionality on Frontend","Enable Reward Points Functionality on Frontend"
"Customers May See Reward Points History","Customers May See Reward Points History"
"Rewards Points Balance Redemption Threshold","Rewards Points Balance Redemption Threshold"
"An empty value disables this limitation.","An empty value disables this limitation."
"Cap Reward Points Balance At","Cap Reward Points Balance At"
"Reward Points Expire in (days)","Reward Points Expire in (days)"
"Reward Points Expiry Calculation","Reward Points Expiry Calculation"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry."
"Refund Reward Points Automatically","Refund Reward Points Automatically"
"Deduct Reward Points from Refund Amount Automatically","Deduct Reward Points from Refund Amount Automatically"
"Actions for Acquiring Reward Points by Customers","Actions for Acquiring Reward Points by Customers"
Purchase,Purchase
"Added for spent money according to reward exchange rates.","Added for spent money according to reward exchange rates."
Registration,Registration
"Newsletter Signup","Newsletter Signup"
"Only for customers who subscribe for the first time.","Only for customers who subscribe for the first time."
"Converting Invitation to Customer","Converting Invitation to Customer"
"Invitation to Customer Conversions Quantity Limit","Invitation to Customer Conversions Quantity Limit"
"Converting Invitation to Order","Converting Invitation to Order"
"Invitation to Order Conversions Quantity Limit","Invitation to Order Conversions Quantity Limit"
"Invitation Conversion to Order Reward","Invitation Conversion to Order Reward"
"Review Submission","Review Submission"
"After approval by administrator.","After approval by administrator."
"Rewarded Reviews Submission Quantity Limit","Rewarded Reviews Submission Quantity Limit"
"Subscribe Customers by Default","Subscribe Customers by Default"
"Balance Update Email","Balance Update Email"
"Reward Points Expiry Warning Email","Reward Points Expiry Warning Email"
"Expiry Warning Before (days)","Expiry Warning Before (days)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Entering no value or a value greater than the expiration lifetime disables the warning notification."
"Reward Points Rates","Tarifas de Puntos de Gratificación"
"Amount Balance","Monto de saldo"
"Check out now and earn %1 for this order.","Check out now and earn %1 for this order."
"Log in now and earn %1 for this order.","Log in now and earn %1 for this order."
"Register on our site now and earn %1.","Register on our site now and earn %1."
"Subscribe to our newsletter now and earn %1.","Subscribe to our newsletter now and earn %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Send this invitation now and earn %s when your invitee signs up on our site."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","Submit a review now and earn %1 after the review is approved."
"You can reward up to %1 new reviews(s).","You can reward up to %1 new reviews(s)."
