"Are you sure?","Êtes-vous sûr(e)?"
"You have saved the revision.","You have saved the revision."
"You have published the revision.","You have published the revision."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"Edit Version","Changer la version"
"You have saved the version.","You have saved the version."
"Please select revision(s).","Veuillez sélectionner la (les) révision(s)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"You have created the new version.","You have created the new version."
Protected,Protégé
"Delete Multiple Hierarchies","Supprimer les hiérarchies multiples"
"Under Version Control","Sous contrôle de version"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Révision publiée actuelle"
"The published revision is unavailable.","The published revision is unavailable."
"Tree Viewed","Arbre vu"
"Please correct the node data.","Please correct the node data."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Ne peut changer le niveau d'accès de la version parce que c'est la dernière version publique pour cette page"
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
Published,Publiée
"[No Owner]","[Pas de propriétaire]"
Chapter,Chapitre
Section,Section
Both,"Les deux"
"Use default","Utiliser défaut"
"Numbers (1, 2, 3, ...)","Nombres (1, 2, 3, …)"
"Lower Alpha (a, b, c, ...)","Minuscule alpha (a, b, c, …)"
"Upper Alpha (A, B, C, ...)","Capitales alpha (A, B, C, ...) "
"Lower Roman (i, ii, iii, ...)","Minuscule roman (i, ii, iii, …)"
"Upper Roman (I, II, III, ...)","Capitales roman (I, II, III, ...)"
Circle,Entourer
Disc,Disque
Square,Carré
Unordered,"Non ordonné"
"Use Parent","Utiliser parent"
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?","Êtes-vous sûr de vouloir supprimer la hiérarchie en cours ?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Cette page ne peut être ajoutée car un nœud ou une page avec la même clé d'URL existe déjà dans cette partie de l'arbre."
"There are unsaved node data. Are you sure you want to proceed?","Il y a des données de nœud non sauvegardées. Êtes-vous sûr(e) de vouloir continuer?"
"This URL key is already in use.","This URL key is already in use."
"CMS Pages","Pages CMS"
"Please select a website or store view.","Please select a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Êtes-vous sûr de vouloir copier la hiérarchie en cours dans les destinations sélectionnées ?"
"Are you sure you want to delete the selected hierarchies?","Êtes-vous sûr de vouloir supprimer les hiérarchies sélectionnées ?"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Choose Scope:","Sélectionner le Champ d'application :"
"Please confirm site switching. You will lose all data that hasn't been saved.","Please confirm site switching. You will lose all data that hasn't been saved."
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","Hiérarchie CMS pour"
"Anchor Custom Text","Ancrer le texte fait sur mesure"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Ancrer le titre fait sur mesure"
Node,Nœud
"Not Selected","Non sélectionné(e)"
"Select a page or node.","Select a page or node."
"Choose Revision","Choisir la révision"
"Current Modification","Modification actuelle"
"Revision #%1","Revision #%1"
"Revision #","Revision #"
"New Revision","Nouvelle révision"
Author:,Auteur:
Version:,Version:
"This Page Belongs To","Cette page appartient "
"Website Root","Racine du site internet"
"Version Revisions","Révisions de version"
Page:,Page:
"CMS Page Link Block Template","Modèle de page CMS de bloc de lien"
"CMS Page Link Inline Template","Modèle de page CMS de conformité de lien"
"CMS Page Hierarchy","CMS Page Hierarchy"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Versioning","Gestion des versions CMS"
"CMS Page Default Versioning","CMS Page Default Versioning"
"CMS Hierarchy","Hiérarchie CMS"
"CMS Hierarchy Node Link","Lien nœud de hiérarchie CMS"
"Link to Specified CMS Hierarchy Node","Lien vers nœud spécifié de hiérarchie CMS"
