"Are you sure?","Sind Sie sicher?"
"This URL key is already in use.","This URL key is already in use."
"CMS Pages","CMS Seiten"
"Please select a website or store view.","Please select a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Wollen sie die aktuelle Hierarchie wirklich an die ausgewählten Zielorte kopieren?"
"Are you sure you want to delete the selected hierarchies?","Wollen sie die ausgewählten Hierarchien wirklich löschen?"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Choose Scope:","Umfang wählen:"
"Please confirm site switching. You will lose all data that hasn't been saved.","Please confirm site switching. You will lose all data that hasn't been saved."
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","CMS-Hierarchie für"
"Anchor Custom Text","Benutzerdefinierten Text verankern"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Benutzerdefinierten Titel verankern"
Node,Knoten
"Not Selected","Nicht ausgewählt"
"Select a page or node.","Select a page or node."
"Choose Revision","Revision wählen"
"Current Modification","Derzeitige Änderungen"
"Revision #%1","Revision #%1"
"Revision #","Revision #"
"New Revision","Neue Revision"
Author:,Autor:
Version:,Version:
"This Page Belongs To","Diese Seite gehört Ihnen"
"Website Root",Webseitenwurzel
"Version Revisions","Version Revisionen"
Page:,Seite:
"CMS Page Link Block Template","CMS Seite Link Block Vorlage"
"CMS Page Link Inline Template","CMS Seite Link Inline Vorlage"
"CMS Page Hierarchy","CMS Page Hierarchy"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Versioning","CMS Versionisierung"
"CMS Page Default Versioning","CMS Page Default Versioning"
"CMS Hierarchy","CMS Hierarchie"
"CMS Hierarchy Node Link","CMS Hierarchie Knotenlink"
"Link to Specified CMS Hierarchy Node","Link zu spezifiziertem CMS Hierarchieknoten"
