"Are you sure?","¿Está seguro?"
"Under Version Control","Bajo control de versión"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Revisión publicada actual"
"The published revision is unavailable.","The published revision is unavailable."
"Tree Viewed","Árbol ya visto"
"Please correct the node data.","Please correct the node data."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","No es posible modificar el nivel de acceso a la versión porque es la última versión pública de la página."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
Published,Publicado
"[No Owner]","[Sin poseedor]"
Chapter,Capítulo
Section,Parte
Both,Ambos
"Use default","Uso por defecto"
"Numbers (1, 2, 3, ...)","Números (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Alfabeto en Minúsculas (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Alphas superiores (A,B,C...)"
"Lower Roman (i, ii, iii, ...)","Números Romanos en Minúsculas (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Romanos superiores (I, II, III...)"
Circle,Círculo
Disc,Disco
Square,Casilla
Unordered,"Sin ordenar"
"Use Parent","Uso parental"
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?","¿Está seguro de que desea borrar la jerarquía actual?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Esta página no puede ser añadida, porque un nodo o una página con la misma clave URL ya existe en esta parte del árbol."
"There are unsaved node data. Are you sure you want to proceed?","Hay datos del nodo que no se han guardado. ¿Está seguro de que quiere continuar?"
"This URL key is already in use.","This URL key is already in use."
"CMS Pages","Páginas del CMS"
"Please select a website or store view.","Please select a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?","¿Está seguro de que quiere copiar la jerarquía actual a los destinos seleccionados?"
"Are you sure you want to delete the selected hierarchies?","¿Está seguro de que desea eliminar las jerarquías seleccionadas?"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Choose Scope:","Seleccionar ámbito:"
"Please confirm site switching. You will lose all data that hasn't been saved.","Please confirm site switching. You will lose all data that hasn't been saved."
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","Jerarquía CMS para"
"Anchor Custom Text","Texto personalizado del delimitador"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Título personalizado del delimitador"
Node,Nodo
"Not Selected","No seleccionado"
"Select a page or node.","Select a page or node."
"Choose Revision","Elija revisión"
"Current Modification","Modificación actual"
"Revision #%1","Revision #%1"
"Revision #","Revision #"
"New Revision","Nueva Revisión"
Author:,Autor:
Version:,Versión:
"This Page Belongs To","Esta página pertenece a"
"Website Root","Raíz de la página web"
"Version Revisions","Modificaciones de la versión"
Page:,Página:
"CMS Page Link Block Template","Plantilla en bloque de la página de enlaces del CMS"
"CMS Page Link Inline Template","Plantilla en línea de la página de enlaces del CMS"
"CMS Page Hierarchy","CMS Page Hierarchy"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Versioning","Control de versiones del CMS"
"CMS Page Default Versioning","CMS Page Default Versioning"
"CMS Hierarchy","Jerarquía del CMS"
"CMS Hierarchy Node Link","Enlace al nodo de jerarquía del CMS"
"Link to Specified CMS Hierarchy Node","Enlace a Nodo Jerárquico CMS Especificado"
