"Are you sure?",您是否确认？
"Delete Multiple Hierarchies",删除多个层次结构
"Under Version Control",位于版本控制下
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision",当前发布的修订
"The published revision is unavailable.","The published revision is unavailable."
"Tree Viewed",查看过的树
"Please correct the node data.","Please correct the node data."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.",无法更改版本访问级别，因为这是此页面的最新公开版。
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
Published,已发布
"[No Owner]",[无所有者]
Chapter,章节
Section,选区
Both,都是
"Use default",使用默认
"Numbers (1, 2, 3, ...)",数字（1、2、3...）
"Lower Alpha (a, b, c, ...)",字母表升序（a、b、c...）
"Upper Alpha (A, B, C, ...)",大写字母（A、B、C...）
"Lower Roman (i, ii, iii, ...)",罗马数字升序（i、ii、iii...）
"Upper Roman (I, II, III, ...)",大写罗马数字（I、II、III...）
Circle,圈子
Disc,磁盘
Square,方块
Unordered,撤销下单
"Use Parent",使用父母
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?",你是否确定要删除当前层次结构？
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","该页面无法添加，因为该树中已经存在使用相同URL Key的节点或页面。"
"There are unsaved node data. Are you sure you want to proceed?",有未保存的节点数据。您是否确认要继续？
"This URL key is already in use.","This URL key is already in use."
"CMS Pages",CMS页面
"Please select a website or store view.","Please select a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?",你是否确定要将当前层次结构复制到所选目标位置？
"Are you sure you want to delete the selected hierarchies?",你是否确定要删除所选层次结构？
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Choose Scope:",选择范围：
"Please confirm site switching. You will lose all data that hasn't been saved.","Please confirm site switching. You will lose all data that hasn't been saved."
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","CMS 层次结构"
"Anchor Custom Text",自定义文本锚点
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title",自定义标题锚点
Node,节点
"Not Selected",非所选
"Select a page or node.","Select a page or node."
"Choose Revision",选择修订
"Current Modification",当前修改
"Revision #%1","Revision #%1"
"Revision #","Revision #"
"New Revision",新修订
Author:,作者：
Version:,版本：
"This Page Belongs To",该页面属于
"Website Root",网站根目录
"Version Revisions",版本修订
Page:,页面：
"CMS Page Link Block Template",CMS页面链接块模板
"CMS Page Link Inline Template",CMS页面链接内联摸板
"CMS Hierarchy",CMS层次结构
"CMS Versioning",CMS版本控制
"CMS Hierarchy Node Link",CMS层次结构节点链接
"Link to Specified CMS Hierarchy Node",到指定CMS层次结构节点的链接
