"Are you sure?","Tem certeza?"
"Lower Roman (i, ii, iii, ...)","Romano minúsculo (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Romana Superior (I, II, III,...)"
Circle,Círculo
Disc,Disco
Square,Quadrado
Unordered,"Não ordenada"
"Use Parent","Uso Parental"
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?","Tem certeza de que deseja excluir a hierarquia atual?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Esta página não pode ser adicionada, porque um nó ou página com a mesma Chave URL já existe nesta parte da árvore."
"There are unsaved node data. Are you sure you want to proceed?","Existem dados de nó não guardados. Tem certeza de que deseja prosseguir?"
"This URL key is already in use.","This URL key is already in use."
"CMS Pages","Páginas CMS"
"Please select a website or store view.","Please select a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Tem certeza de que deseja copiar a hierarquia atual para os destinos selecionados?"
"Are you sure you want to delete the selected hierarchies?","Tem certeza de que deseja excluir as hierarquias selecionadas?"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Choose Scope:","Escolha o escopo:"
"Please confirm site switching. You will lose all data that hasn't been saved.","Please confirm site switching. You will lose all data that hasn't been saved."
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","Hierarquia CMS para"
"Anchor Custom Text","Texto âncora personalizado"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Título âncora personalizado"
Node,Ponto
"Not Selected","Não selecionado"
"Select a page or node.","Select a page or node."
"Choose Revision","Escolha Revisão"
"Current Modification","Modificação Atual"
"Revision #%1","Revision #%1"
"Revision #","Revision #"
"New Revision","Nova revisão"
Author:,Autor:
Version:,Versão:
"This Page Belongs To","Esta Página Pertence A"
"Website Root","Raiz do website"
"Version Revisions","Revisões da versão"
Page:,Página:
"CMS Page Link Block Template","Modelo de bloco de link da página de SGC"
"CMS Page Link Inline Template","Modelo Em Linha de Link de Página CMS"
"CMS Page Hierarchy","CMS Page Hierarchy"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Versioning","Versionamento CMS"
"CMS Page Default Versioning","CMS Page Default Versioning"
"CMS Hierarchy","Hierarquia de SGC"
"CMS Hierarchy Node Link","Link de permissão de Hierarquia de SGC"
"Link to Specified CMS Hierarchy Node","Link para o ponto de hierarquia especificada de SGC"
