"Are you sure?","Weet u het zeker?"
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Please select version(s).","Selecteer alstublieft de versie(s)."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Bewerk modificatie"
"You have saved the revision.","You have saved the revision."
"You have published the revision.","You have published the revision."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"Edit Version","Bewerk versie"
"You have saved the version.","You have saved the version."
"Please select revision(s).","Selecteer alstublieft de herziening(en)."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have deleted the version.","You have deleted the version."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"You have created the new version.","You have created the new version."
Protected,Beschermd
"Delete Multiple Hierarchies","Verwijder Meerdere Hiërarchieën"
"Under Version Control","Onder versiecontrole"
"%1; rev #%2","%1; rev #%2"
"Currently Published Revision","Huidig gepubliceerde modificatie"
"The published revision is unavailable.","The published revision is unavailable."
"Tree Viewed","Boom gezien"
"Please correct the node data.","Please correct the node data."
"Revision #%1 could not be removed because it is published.","Revision #%1 could not be removed because it is published."
"Please enter a version label.","Please enter a version label."
"Cannot change version access level because it is the last public version for its page.","Het bereikbaarheidslevel kan niet worden veranderd, omdat het de laatst beschikbare publieke versie is voor deze pagina."
"Version ""%1"" cannot be removed because it is the last public page version.","Version ""%1"" cannot be removed because it is the last public page version."
"Version ""%1"" cannot be removed because its revision is published.","Version ""%1"" cannot be removed because its revision is published."
Published,Gepubliceerd
"[No Owner]","[Geen eigenaar]"
Chapter,Hoofdstuk
Section,Gedeelte
Both,Beide
"Use default","Gebruik standaard"
"Numbers (1, 2, 3, ...)","Nummers (1, 2, 3, ...)"
"Lower Alpha (a, b, c, ...)","Lagere Alfanumeriek (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Hoofdletters (A, B, C...)"
"Lower Roman (i, ii, iii, ...)","Lagere Romeinse Cijfers (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Romeinse cijfers (I,II, III, ...)"
Circle,Cirkel
Disc,Disc
Square,Vierkant
Unordered,"Niet besteld"
"Use Parent","Gebruik ouder"
"Use the parent node hierarchy.","Use the parent node hierarchy."
"Are you sure you want to delete current hierarchy?","Weet u zeker dat u de huidige hiërarchie wilt verwijderen?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Deze pagina kan niet worden toegevoegd, omdat een pagina met dezelfde URL sleutel reeds bestaat"
"There are unsaved node data. Are you sure you want to proceed?","Er is niet-opgeslagen data. Weet u zeker dat u door wilt gaan?"
"This URL key is already in use.","This URL key is already in use."
"CMS Pages","CMS pagina's"
"Please select a website or store view.","Please select a website or store view."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Weet u zeker dat u de huidige hiërarchie wilt kopiëren naar de geselecteerde bestemmingen?"
"Are you sure you want to delete the selected hierarchies?","Weet u zeker dat u de geselecteerde hiërarchieën wilt verwijderen?"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Choose Scope:","Kies Scope:"
"Please confirm site switching. You will lose all data that hasn't been saved.","Please confirm site switching. You will lose all data that hasn't been saved."
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","CMS Hiërarchie voor"
"Anchor Custom Text","Zet eigen tekst vast"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Zet eigen titel vast"
Node,Knooppunt
"Not Selected","Niet Geselecteerd"
"Select a page or node.","Select a page or node."
"Choose Revision","Kies modificatie"
"Current Modification","Huidige modificatie"
"Revision #%1","Revision #%1"
"Revision #","Revision #"
"New Revision","Nieuwe Correctie"
Author:,Auteur:
Version:,Versie:
"This Page Belongs To","Deze pagina behoort toe aan"
"Website Root","Website wortel"
"Version Revisions","Versie modificatie"
Page:,Pagina:
"CMS Page Link Block Template","CMS pagina link blokkerende template"
"CMS Page Link Inline Template","CMS link ingelijnde template"
"CMS Page Hierarchy","CMS Page Hierarchy"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Versioning","CMS versies"
"CMS Page Default Versioning","CMS Page Default Versioning"
"CMS Hierarchy","CMS hiërarchie"
"CMS Hierarchy Node Link","CMS hiërarchie node link"
"Link to Specified CMS Hierarchy Node","Link naar gespecificeerde CMS Hiërarchie Node"
