All,"TOut :"
"Has State/Province","A Région/Département"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
has,a
"does not have","n'a pas"
exists,existe
"does not exist","n'existe pas"
"Customer %1","Customer %1"
"Newsletter Subscription","Souscription à la lettre d'informations"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
subscribed,inscris
"not subscribed","non inscris"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Fourchette dates"
"Open Chooser","Open Chooser"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Attributs de l'adresse de commande"
"Order Address %1","Order Address %1"
"Address Type","Type d'adresse"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","État de la commande"
"Order Status %1 %2:","Order Status %1 %2:"
"Product %1","Product %1"
"Date Ranges","Fourchettes dates"
viewed,vu
ordered,commandé
was,was
"was not","was not"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Wish List","Wish List"
found,found
"not found","not found"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address","Adresse de commande"
"Sales Amount","Montant des ventes"
"Number of Orders","Nombre de commandes"
"Purchased Quantity","Quantité achetée"
"Number of Orders %1 %2 while %3 of these Conditions match:","Number of Orders %1 %2 while %3 of these Conditions match:"
"%1 Purchased Quantity %2 %3 while %4 of these Conditions match:","%1 Purchased Quantity %2 %3 while %4 of these Conditions match:"
"%1 Sales Amount %2 %3 while %4 of these Conditions match:","%1 Sales Amount %2 %3 while %4 of these Conditions match:"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
matches,correspondances
"does not match","ne correspond pas"
"is one of","est l'un"
"is not one of","n'est pas l'un"
"Shopping Cart Total","Total du caddy"
"Gift Card","Carte cadeau"
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.","Total de devis spécifié inconnu."
"Number of Cart Line Items","Nombre d'éléments dans la ligne panier"
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity","Quantité de produits"
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"Up To Date","A jour"
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Website Filter values","Website Filter values"
CSV,CSV
"Excel XML","Excel XML"
Set,Rentré
Group,Groupe
Phone,Téléphone
ZIP,"Code postal"
"Customer Since","Client depuis"
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Refresh Data","Actualiser les données"
"Manage Segments","Gérer les segments"
"View Combined Report","Voir le rapport combiné"
