Custom,Personalizado
"PayPal Express Checkout is not enabled.","PayPal Express Checkout is not enabled."
"Please re-enable the previously enabled payment solutions.","Please re-enable the previously enabled payment solutions."
"View Demo","Visualizar Demonstração"
"You will be redirected to the PayPal website.","Você será redirecionado para o site PayPal."
"Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?","Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?"
"You will be redirected to the PayPal website when you place an order.","Você será redirecionado para o site PayPal quando você colocar uma ordem."
"Click here if you are not redirected within 10 seconds.","Click here if you are not redirected within 10 seconds."
"You will be redirected to the PayPal website in a few seconds.","Você será redirecionado para a página do PayPal em alguns segundos."
"You canceled the billing agreement.","You canceled the billing agreement."
"We could not cancel the billing agreement.","We could not cancel the billing agreement."
"You deleted the billing agreement.","You deleted the billing agreement."
"We could not delete the billing agreement.","We could not delete the billing agreement."
"Please specify the correct billing agreement ID and try again.","Please specify the correct billing agreement ID and try again."
"View Transaction","Visualizar Transação"
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration."
"We fetched %1 report rows from '%2@%3'.","We fetched %1 report rows from '%2@%3'."
"We couldn't fetch reports from '%1@%2'.","We couldn't fetch reports from '%1@%2'."
"Billing Agreement # %1","Billing Agreement # %1"
"We couldn't start the billing agreement wizard.","We couldn't start the billing agreement wizard."
"The billing agreement ""%1"" has been created.","The billing agreement ""%1"" has been created."
"We couldn't finish the billing agreement wizard.","We couldn't finish the billing agreement wizard."
"The billing agreement ""%1"" has been canceled.","The billing agreement ""%1"" has been canceled."
"We couldn't cancel the billing agreement.","We couldn't cancel the billing agreement."
"To proceed to Checkout, please log in using your email address.","To proceed to Checkout, please log in using your email address."
"We can't start Express Checkout.","We can't start Express Checkout."
"Express Checkout and Order have been canceled.","Caixa Expresso e Ordem foram canceladas."
"Express Checkout has been canceled.","Caixa Expresso foi cancelada."
"Unable to cancel Express Checkout","Unable to cancel Express Checkout"
"We can't process Express Checkout approval.","We can't process Express Checkout approval."
"We can't initialize Express Checkout review.","We can't initialize Express Checkout review."
"We can't update shipping method.","We can't update shipping method."
"We can't update Order data.","We can't update Order data."
"We can't place the order.","We can't place the order."
"We can't initialize Express Checkout.","We can't initialize Express Checkout."
"PayPal Express Checkout Token does not exist.","Fechar Pedido com PayPal Express: Token não existe"
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified."
"Your payment has been declined. Please try again.","Your payment has been declined. Please try again."
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway."
"PayPal response hasn't required fields.","Resposta PayPal não tem os campos obrigatórios."
"Something went wrong while processing your order.","Something went wrong while processing your order."
"The PayPal gateway has rejected this request. %1","The PayPal gateway has rejected this request. %1"
"PayPal gateway rejected the request. %1","PayPal gateway rejected the request. %1"
"The payment method code is not set.","The payment method code is not set."
"The reference ID is not set.","The reference ID is not set."
"Unable to save Billing Agreement:","Não foi possível salvar Acordo de Cobrança:"
"The customer ID is not set.","The customer ID is not set."
"The Billing Agreement status is not set.","The Billing Agreement status is not set."
"The PayPal certificate does not exist.","The PayPal certificate does not exist."
"We prefer PayPal (150 X 60)","Preferimos PayPal (150 x 60)"
"We prefer PayPal (150 X 40)","Preferimos PayPal (150 x 40)"
"Now accepting PayPal (150 X 60)","Aceitando agora PayPal (150 X 60)"
"Now accepting PayPal (150 X 40)","Aceitando agora PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagamentos por PayPal (150 x 60)"
"Payments by PayPal (150 X 40)","Pagamentos por PayPal (150 x 40)"
"Shop now using (150 X 60)","Compre agora usando (150 X 60)"
"Shop now using (150 X 40)","Compre agora usando (150 X 40)"
Shortcut,Atalho
"Acceptance Mark Image","Imagem de Marca de Aceitação"
Sale,Venda
"For Virtual Quotes Only","Somente para Orçamentos Virtuais"
Auto,Auto
"Ask Customer","Pergunte ao cliente"
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) Only"
"API Signature","Assinatura API"
"API Certificate","Certificado API"
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We'll authorize the amount of %1 as soon as the payment gateway approves it."
"The authorized amount is %1.","The authorized amount is %1."
"The maximum number of child authorizations is reached.","O número máximo de autorizações de criança foi atingido."
"PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process.","PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process."
"Payer is not identified.","O pagante não está identificado."
"Last Transaction ID","ID da Última Transação"
"This customer did not include a confirmed address.","This customer did not include a confirmed address."
"The payment is authorized but not settled.","O pagamento está autorizado, mas não liquidado."
"The payment eCheck is not yet cleared.","O pagamento eCheck ainda não está clarificado."
"The merchant holds a non-U.S. account and does not have a withdrawal mechanism.","The merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"The payment currency does not match any of the merchant's balances currency.","The payment currency does not match any of the merchant's balances currency."
"The payment is pending while it is being reviewed by PayPal for risk.","O pagamento está pendente enquanto ele está sendo revisado para o risco por PayPal."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","O pagamento está pendente porque foi feito para um endereço de e-mail que ainda não está registrado ou confirmado."
"The merchant account is not yet verified.","A conta de comerciante ainda não foi confirmada."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","O pagamento foi feito via cartão de crédito. A fim de receber fundos o comerciante deve atualizar sua conta para status Business ou Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Sorry, but something went wrong. Please contact PayPal customer service."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"Reversal of an adjustment.","Reversão de um ajustamento."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Reimbursement for a chargeback.","Reembolso de uma cobrança retroativa."
"Settlement of a chargeback.","Liquidação de um estorno."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Unknown reason. Please contact PayPal customer service.","Motivo desconhecido. Favor contactar o atendimento a clientes do PayPal."
"Payer ID","Identificação do Pagante"
"Payer Email","E-mail do Pagante"
"Payer Status","Estado Atual do Pagante"
"Payer Address ID","Identificação do Endereço do Pagante"
"Payer Address Status","Estado Atual do Endereço do Pagante"
"Merchant Protection Eligibility","Elegibilidade de Proteção do Comerciante"
"Triggered Fraud Filters","Desencadeados Filtros de Fraude"
"Last Correlation ID","ID da Última Correlação"
"Address Verification System Response","Resposta de Sistema de Verificação de Endereço"
"CVV2 Check Result by PayPal","CVV2: Verificar Resultado pelo PayPal"
"Buyer's Tax ID","CPF do Comprador"
"Buyer's Tax ID Type","Tipo de CPF/CNPJ do Comprador"
"PayPal/Centinel Visa Payer Authentication Service Result","Resultado do Serviço de Autenticação Pagador Visa PayPal/Centinel"
"PayPal/Centinel Electronic Commerce Indicator","Indicador de Comércio Eletrônico PayPal/Centinel"
Chargeback,Estorno
Complaint,Complaint
Dispute,Dispute
"Matched Address only (no ZIP)","Apenas Endereço Correspondido (sem ZIP)"
"Matched Address only (no ZIP) International","Matched Address only (no ZIP) International"
"No Details matched","Nenhuns Detalhes correspondem"
"No Details matched. International","Nenhuns Detalhes correspondem. Internacional"
"Exact Match. Address and nine-digit ZIP code","Correspondência exata. Endereço e código postal CEP de nove dígitos"
"Exact Match. Address and Postal Code. International","Correspondência exata. Endereço e CEP. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Correspondência exata. Endereço e CEP. Específicas do Reino Unido"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Não permitido para transações MOTO (Internet/Telefone)"
"N/A. Global Unavailable","N/A. Global Não Disponível"
"N/A. International Unavailable","N/A. Internacional Não Disponível"
"Matched five-digit ZIP only (no Address)","Apenas ZIP de cinco dígitos correspondido (sem Endereço)"
"Matched Postal Code only (no Address)","Apenas Código Postal Correspondido (sem Endereço)"
"N/A. Retry","N/A. Tentar novamente"
"N/A. Service not Supported","N/A. Serviço não Suportado"
"N/A. Unavailable","N/A. Indisponível"
"Matched whole nine-didgit ZIP (no Address)","ZIP total de nove dígitos correspondido (sem Endereço)"
"Yes. Matched Address and five-didgit ZIP","Sim. Endereço Correspondente e ZIP de cinco dígitos"
"All the address information matched","Todas as informações do endereço correspondem"
"None of the address information matched","Nenhuma das informações de endereço corresponderam"
"Part of the address information matched","Parte das informações de endereço correspondeu"
"N/A. The merchant did not provide AVS information","N/A. O comerciante não forneceu informação AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Endereço não verificado, ou comprador sem resposta. Serviço não disponível"
"Matched (CVV2CSC)","Correspondido (CVV2CSC)"
"No match","Nenhuma correspondência"
"N/A. Not processed","N/A. Não processado"
"N/A. Service not supported","N/A. Serviço não suportado"
"N/A. Service not available","N/A. Serviço não disponível"
"N/A. No response","N/A. Sem resposta"
"Matched (CVV2)","Correspondido (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. O comerciante não implementou manipulação de código CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Comerciante indicou que CVV2 não está presente no cartão"
"Authenticated, Good Result","Autenticado, Bom Resultado"
"Authenticated, Bad Result","Autenticado, Mau Resultado"
"Attempted Authentication, Good Result","Autenticação Tentada, Bom Resultado"
"Attempted Authentication, Bad Result","Autenticação Tentada, Mau Resultado"
"No Liability Shift","Nenhuma Mudança de Responsabilidade"
"Issuer Liability","Responsabilidade do Emissor"
CNPJ,"CNPJ (Cadastro Nacional de Pessoas Jurídicas)"
CPF,"CPF (Cadastro de Contribuintes Pessoas Físicas)"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4"""
"You notified customer about creditmemo #%1.","You notified customer about creditmemo #%1."
"Created billing agreement #%1.","Created billing agreement #%1."
"We couldn't create a billing agreement for this order.","We couldn't create a billing agreement for this order."
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Fetch transaction details method does not exists in Payflow","Fetch transaction details method does not exists in Payflow"
"We cannot send the new order email.","We cannot send the new order email."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"Payment transactions disallow storing objects.","Transações de pagamento não permitem armazenar objetos."
"You need to enter a transaction ID.","You need to enter a transaction ID."
"This operation requires an existing transaction object.","Esta operação requer um objeto existente de transação."
"You need an authorization transaction to void.","You need an authorization transaction to void."
"We can't issue a refund transaction because there is no capture transaction.","We can't issue a refund transaction because there is no capture transaction."
"We cannot create a target file for reading reports.","We cannot create a target file for reading reports."
"Report Date","Data do Relatório"
"Merchant Account","Conta do Comerciante"
"Transaction ID","ID da Transação"
"Invoice ID","ID da fatura"
"PayPal Reference ID","ID de Referência PayPal"
"PayPal Reference ID Type","Tipo de ID de Referência PayPal"
"Event Code","Código de Evento"
"Finish Date","Finish Date"
"Debit or Credit","Débito ou Crédito"
"Gross Amount","Valor Bruto"
"Fee Debit or Credit","Taxa de Débito ou de Crédito"
"Fee Amount","Valor da Taxa"
"Order ID","ID da Ordem"
"Subscription ID","ID de Subscrição"
"Preapproved Payment ID","ID do Pagamento Pré-aprovado"
Credit,Crédito
Debit,Débito
"General: received payment of a type not belonging to the other T00xx categories","Geral: pagamento recebido de um tipo que não pertence às outras categorias T00xx"
"Mass Pay Payment","Pagamento de Pagamento em Massa"
"Subscription Payment, either payment sent or payment received","Pagamento de Subscrição, ou de pagamento enviado ou pagamento recebido"
"Preapproved Payment (BillUser API), either sent or received","Pagamento Pré-aprovado (BillUser API), quer enviado ou recebido"
"eBay Auction Payment","Pagamento do Leilão eBay"
"Direct Payment API","API de Pagamento Direto"
"Express Checkout APIs","APIs Caixa Expresso"
"Website Payments Standard Payment","Pagamento de Pagamentos de Site Padrão"
"Postage Payment to either USPS or UPS","Pagamento de Porte quer para USPS ou UPS"
"Gift Certificate Payment: purchase of Gift Certificate","Pagamento de Vale Oferta: compra de Vale Oferta"
"Auction Payment other than through eBay","Pagamento de Leilão que não seja através de eBay"
"Mobile Payment (made via a mobile phone)","Pagamento Móvel (feito através de um celular)"
"Virtual Terminal Payment","Pagamento via Terminal Virtual"
"General: non-payment fee of a type not belonging to the other T01xx categories","Geral: taxa de não-pagamento de um tipo que não pertence às outras categorias T01xx"
"Fee: Web Site Payments Pro Account Monthly","Taxa: Conta Pro de Pagamentos de Web Site Mensal"
"Fee: Foreign ACH Withdrawal","Taxa: Retirada ACH Exterior"
"Fee: WorldLink Check Withdrawal","Taxa: Levantamento Verificado WorldLink"
"Fee: Mass Pay Request","Taxa: Pedido de Pagamento em Massa"
"General Currency Conversion","Conversão de Moeda em Geral"
"User-initiated Currency Conversion","Conversão de Moeda por Iniciativa do Usuário"
"Currency Conversion required to cover negative balance","Necessária a Conversão de Moeda para cobrir saldo negativo"
"General Funding of PayPal Account ","Financiamento Geral de Conta PayPal"
"PayPal Balance Manager function of PayPal account","Função PayPal de Gerente de Saldo da conta PayPal"
"ACH Funding for Funds Recovery from Account Balance","Financiamento ACH para Recuperação de Fundos de Saldo da Conta"
"EFT Funding (German banking)","Financiamento com transação eletrônica (banco alemão)"
"General Withdrawal from PayPal Account","Levantamento Geral a partir da Conta PayPal"
AutoSweep,AutoVarredura
"General: Use of PayPal account for purchasing as well as receiving payments","Geral: Uso de conta PayPal para a compra bem como para receber pagamentos"
"Virtual PayPal Debit Card Transaction","Transação via Cartão de Débito Virtual PayPal"
"PayPal Debit Card Withdrawal from ATM","Levantamento de ATM com Cartão de Débito PayPal"
"Hidden Virtual PayPal Debit Card Transaction","Transação Virtual Escondida com Cartão de Débito PayPal"
"PayPal Debit Card Cash Advance","Adiantamento de Dinheiro com Cartão de Débito PayPal"
"General: Withdrawal from PayPal Account","Geral: Levantamento a partir da Conta PayPal"
"General (Purchase with a credit card)","Geral (Compra com Cartão de Crédito)"
"Negative Balance","Balanço Negativo"
"General: bonus of a type not belonging to the other T08xx categories","Geral: bônus de um tipo que não pertence às outras categorias T08xx"
"Debit Card Cash Back","Desconto em Uso de Cartão de Débito"
"Merchant Referral Bonus","Bónus de Comerciante"
"Balance Manager Account Bonus","Conta de Gerente Bônus de Balanço"
"PayPal Buyer Warranty Bonus","Garantia Bonus de Comprador PayPal"
"PayPal Protection Bonus","Bônus de Proteção PayPal"
"Bonus for first ACH Use","Bônus pelo primeiro uso do ACH"
"General Redemption","Redenção Geral"
"Gift Certificate Redemption","Redenção de Vale Oferta"
"Points Incentive Redemption","Redenção de Pontos de Incentivo"
"Coupon Redemption","Resgate de Cupom"
"Reward Voucher Redemption","Resgate de Voucher de Recompensa"
"General. Product no longer supported","Geral. Produto não é mais suportado"
"General: reversal of a type not belonging to the other T11xx categories","Geral: reversão de um tipo que não pertence às outras categorias T11xx"
"ACH Withdrawal","Levantamento ACH"
"Debit Card Transaction","Transação em Cartão de Débito"
"Reversal of Points Usage","Reversão de Pontos de Uso"
"ACH Deposit (Reversal)","Depósito ACH (Reverso)"
"Reversal of General Account Hold","Reversão do Domínio da Conta Geral"
"Account-to-Account Payment, initiated by PayPal","Pagamento Conta para Conta, iniciado por PayPal"
"Payment Refund initiated by merchant","Reembolso de Pagamento por iniciativa do Comerciante"
"Fee Reversal","Reversão de Taxa"
"Hold for Dispute Investigation","Espere por Investigação de Disputa"
"Reversal of hold for Dispute Investigation","Reversão de espera por Disputa de Investigação"
"General: adjustment of a type not belonging to the other T12xx categories","Geral: ajuste de um tipo que não pertence às outras categorias T12xx"
Reversal,Reversão
Charge-off,"Baixa contábil"
Incentive,Incentivo
"Reimbursement of Chargeback","Reembolso de Cobrança Retroativa."
"General (Authorization)","Geral (Autorização)"
Reauthorization,Reautorização
Void,Anular
"General (Dividend)","Geral (Dividendo)"
"General: temporary hold of a type not belonging to the other T15xx categories","Geral: retenção temporária de um tipo que não pertence às outras categorias T15xx"
"Open Authorization","Autorização Aberta"
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (Apoio para Disputa ou Outra Investigação)"
"Available Balance","Saldo Disponível"
Funding,Financiamento
"General: Withdrawal to Non-Bank Entity","Geral: Levantamento de Entidade Não-Bancária"
"WorldLink Withdrawal","Levantamento WorldLink"
"Buyer Credit Payment","Pagamento de Crédito do Comprador"
"General Adjustment without businessrelated event","Ajuste Geral sem evento de negócios relacionado"
"General (Funds Transfer from PayPal Account to Another)","Geral (Transferência de Fundos da Conta PayPal para Outra)"
"Settlement Consolidation","Consolidação de liquidação"
"General: event not yet categorized","Geral: evento ainda não classificado"
"The PayPal certificate file is empty.","The PayPal certificate file is empty."
"Every 3 days","A cada 3 dias"
"Every 7 days","A cada 7 dias"
"Every 10 days","A cada 10 dias"
"Every 14 days","A cada 14 dias"
"Every 30 days","A cada 30 dias"
"Every 40 days","A cada 40 dias"
"No Logo","Nenhum Logo"
"Pending PayPal","Pendência com PayPal"
"Billing Agreement","Contrato de faturamento"
"Created At","Created At"
"Updated At","Updated At"
"-- Please Select Billing Agreement--","-- Por Favor, Escolha o Acordo de Cobrança--"
"Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more.","Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more."
"Important: ","Important: "
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Agreement Information","Agreement Information"
"Reference ID:","Reference ID:"
Status:,Status:
Created:,Created:
Updated:,Updated:
"Payment Method:","Payment Method:"
"Ship To","Ship To"
"Back to Billing Agreements","Voltar para Contratos de Faturamento"
"There are no billing agreements yet.","Ainda não existem acordos de faturamento."
"New Billing Agreement","Novo Contrato de Faturamento"
"You will be redirected to the payment system website.","You will be redirected to the payment system website."
Create...,Create...
"Your billing agreement # is: %1.","Your billing agreement # is: %1."
"Review Order","Analisar o pedido"
"Items in Your Shopping Cart","Itens em seu carrinho de compras"
"Edit Shopping Cart","Editar Carrinho de Compras"
"Update Order Data","Atualizar Dados do Pedido"
"Same as shipping","Mesmo de envio"
"Please select a shipping method...","Por favor selecione um método de envio..."
"Please update order data to get shipping methods and rates","Por favor atualize os dados do pedido para ver as formas de envio e tarifas"
"Checkout with PayPal","Fechar Pedido com o PayPal"
"Please do not refresh the page until you complete payment.","Por favor não atualize a página até concluir o pagamento."
"You will be required to enter your payment details after you place an order.","Você será obrigado a inserir seus detalhes de pagamento depois de colocar uma ordem."
"Additional Options","Opções Adicionais"
"Update Shipping Method","Update Shipping Method"
"Change Payment Method","Change Payment Method"
"Payer Email: %1","Payer Email: %1"
"Acceptance Mark","Marca de Aceitação"
"What is PayPal?","O que é o PayPal?"
"Sign a billing agreement to streamline further purchases with PayPal.","Assine um acordo de faturamento para agilizar ainda mais as compras com o PayPal."
"Sorry, something went wrong.","Sorry, something went wrong."
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
