Custom,自定义
"You will be redirected to the PayPal website when you place an order.",在您下单时，您会被重定向到PayPal网站。
"Click here if you are not redirected within 10 seconds.","Click here if you are not redirected within 10 seconds."
"You will be redirected to the PayPal website in a few seconds.",几秒钟后，您将被重定向到PayPal网站。
"You canceled the billing agreement.","You canceled the billing agreement."
"We could not cancel the billing agreement.","We could not cancel the billing agreement."
"You deleted the billing agreement.","You deleted the billing agreement."
"We could not delete the billing agreement.","We could not delete the billing agreement."
"Please specify the correct billing agreement ID and try again.","Please specify the correct billing agreement ID and try again."
"View Transaction",查看交易
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration."
"We fetched %1 report rows from '%2@%3'.","We fetched %1 report rows from '%2@%3'."
"We couldn't fetch reports from '%1@%2'.","We couldn't fetch reports from '%1@%2'."
"Billing Agreement # %1","Billing Agreement # %1"
"We couldn't start the billing agreement wizard.","We couldn't start the billing agreement wizard."
"The billing agreement ""%1"" has been created.","The billing agreement ""%1"" has been created."
"We couldn't finish the billing agreement wizard.","We couldn't finish the billing agreement wizard."
"The billing agreement ""%1"" has been canceled.","The billing agreement ""%1"" has been canceled."
"We couldn't cancel the billing agreement.","We couldn't cancel the billing agreement."
"To proceed to Checkout, please log in using your email address.","To proceed to Checkout, please log in using your email address."
"We can't start Express Checkout.","We can't start Express Checkout."
"Express Checkout and Order have been canceled.",快速结账且订单已取消。
"Express Checkout has been canceled.",快速结账已被取消。
"Unable to cancel Express Checkout","Unable to cancel Express Checkout"
"We can't process Express Checkout approval.","We can't process Express Checkout approval."
"We can't initialize Express Checkout review.","We can't initialize Express Checkout review."
"We can't update shipping method.","We can't update shipping method."
"We can't update Order data.","We can't update Order data."
"We can't place the order.","We can't place the order."
"We can't initialize Express Checkout.","We can't initialize Express Checkout."
"PayPal Express Checkout Token does not exist.",PayPal快速结账令牌不存在。
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified."
"Your payment has been declined. Please try again.","Your payment has been declined. Please try again."
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway."
"PayPal response hasn't required fields.",PayPal的响应缺少必须字段。
"Something went wrong while processing your order.","Something went wrong while processing your order."
"The PayPal gateway has rejected this request. %1","The PayPal gateway has rejected this request. %1"
"PayPal gateway rejected the request. %1","PayPal gateway rejected the request. %1"
"The payment method code is not set.","The payment method code is not set."
"The reference ID is not set.","The reference ID is not set."
"Unable to save Billing Agreement:",无法保存记账协议：
"The customer ID is not set.","The customer ID is not set."
"The Billing Agreement status is not set.","The Billing Agreement status is not set."
"The PayPal certificate does not exist.","The PayPal certificate does not exist."
"We prefer PayPal (150 X 60)",我们喜欢PayPal（150X60）
"We prefer PayPal (150 X 40)",我们喜欢PayPal（150X40）
"Now accepting PayPal (150 X 60)",现在接受PayPal（150X60）
"Now accepting PayPal (150 X 40)",现在接受PayPal（150X40）
"Payments by PayPal (150 X 60)",用PayPal付款（150X60）
"Payments by PayPal (150 X 40)",用PayPal付款（150X40）
"Shop now using (150 X 60)",立刻购物并使用（150X60）
"Shop now using (150 X 40)",立刻购物并使用（150X40）
Shortcut,快捷方式
"Acceptance Mark Image",接受标志图片
Sale,销售
"For Virtual Quotes Only",仅用于虚拟产品
Auto,自动
"Ask Customer",询问顾客
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) Only"
"API Signature",API签名
"API Certificate",API证书
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We'll authorize the amount of %1 as soon as the payment gateway approves it."
"The authorized amount is %1.","The authorized amount is %1."
"The maximum number of child authorizations is reached.",授权子帐户的最大数量已达到。
"PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process.","PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process."
"Payer is not identified.",付款者未经检定。
"Last Transaction ID",最新交易ID
"This customer did not include a confirmed address.","This customer did not include a confirmed address."
"The payment is authorized but not settled.",支付已获授权但尚未确定。
"The payment eCheck is not yet cleared.",支付的电子支票尚未兑现。
"The merchant holds a non-U.S. account and does not have a withdrawal mechanism.","The merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"The payment currency does not match any of the merchant's balances currency.","The payment currency does not match any of the merchant's balances currency."
"The payment is pending while it is being reviewed by PayPal for risk.",支付被挂起，因为正在由PayPal进行风险评估。
"The payment is pending because it was made to an email address that is not yet registered or confirmed.",支付被挂起，因为支付使用了一个未经确认的电子邮件地址。
"The merchant account is not yet verified.",银行帐户尚未验证。
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.",支付是通过信用卡进行的。为了收到资金，银行必须将帐户升级为商业或白金状态。
"Sorry, but something went wrong. Please contact PayPal customer service.","Sorry, but something went wrong. Please contact PayPal customer service."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"Reversal of an adjustment.",调整撤销
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Reimbursement for a chargeback.",偿还退款。
"Settlement of a chargeback.",处理返款。
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Unknown reason. Please contact PayPal customer service.",未知原因。请联系PayPal客户服务。
"Payer ID",付款者ID
"Payer Email",付款者邮件地址
"Payer Status",付款者状态
"Payer Address ID",付款者地址ID
"Payer Address Status",付款者地址状态
"Merchant Protection Eligibility",银行保护的资格
"Triggered Fraud Filters",触发的欺诈筛选器
"Last Correlation ID",最新关联ID
"Address Verification System Response",地址验证系统响应
"CVV2 Check Result by PayPal",PayPal的CVV2检查结果
"Buyer's Tax ID","买家的纳税人 ID"
"Buyer's Tax ID Type","买家的纳税人 ID 类型"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa付款者验证服务结果"
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce指示器"
Chargeback,退款
Complaint,Complaint
Dispute,Dispute
"Matched Address only (no ZIP)",只匹配地址（无邮编）
"Matched Address only (no ZIP) International","Matched Address only (no ZIP) International"
"No Details matched",无匹配资料
"No Details matched. International",无匹配资料。国际化
"Exact Match. Address and nine-digit ZIP code",完全匹配，地址和九位邮编
"Exact Match. Address and Postal Code. International",完全匹配。地址和邮编。国际
"Exact Match. Address and Postal Code. UK-specific",完全匹配。地址和邮编。仅限英国
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. 不允许MOTO（网络，手机厂商）交易"
"N/A. Global Unavailable",N/A.全球不可用
"N/A. International Unavailable","N/A. 国际不可用"
"Matched five-digit ZIP only (no Address)",只匹配五位邮编（无地址）
"Matched Postal Code only (no Address)",只匹配邮编（无地址）
"N/A. Retry","N/A. 重试"
"N/A. Service not Supported","N/A. 不支持的服务"
"N/A. Unavailable","N/A. 不可用"
"Matched whole nine-didgit ZIP (no Address)",只匹配九位邮编（无地址）
"Yes. Matched Address and five-didgit ZIP",是的，匹配地址与五位邮编
"All the address information matched",所有地址信息都匹配
"None of the address information matched",无匹配地址信息
"Part of the address information matched",地址信息中部分匹配
"N/A. The merchant did not provide AVS information","N/A. 商家未提供AVS信息。"
"N/A. Address not checked, or acquirer had no response. Service not available",N/A。地址未检查，或对方行未响应。服务不可用
"Matched (CVV2CSC)",匹配（CVV2CSC）
"No match",无匹配结果
"N/A. Not processed","N/A. 未处理"
"N/A. Service not supported",N/A。服务不支持
"N/A. Service not available","N/A. 服务不可用"
"N/A. No response","N/A. 没有响应"
"Matched (CVV2)",匹配（CVV2）
"N/A. The merchant has not implemented CVV2 code handling","N/A. 商家未完成CVV2码的处理"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. 商家指出信用卡缺少CVV2码"
"Authenticated, Good Result",已身份验证，结果正常
"Authenticated, Bad Result",已身份验证，结果有误
"Attempted Authentication, Good Result",尝试身份验证，结果正常
"Attempted Authentication, Bad Result",尝试身份验证，结果有误
"No Liability Shift",无责任转移
"Issuer Liability",发卡人责任
CNPJ,CNPJ
CPF,CPF
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4"""
"You notified customer about creditmemo #%1.","You notified customer about creditmemo #%1."
"Created billing agreement #%1.","Created billing agreement #%1."
"We couldn't create a billing agreement for this order.","We couldn't create a billing agreement for this order."
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Fetch transaction details method does not exists in Payflow","Fetch transaction details method does not exists in Payflow"
"We cannot send the new order email.","We cannot send the new order email."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"Payment transactions disallow storing objects.",支付交易不允许的店铺对象。
"You need to enter a transaction ID.","You need to enter a transaction ID."
"This operation requires an existing transaction object.",该操作需要一个现有的交易目标。
"You need an authorization transaction to void.","You need an authorization transaction to void."
"We can't issue a refund transaction because there is no capture transaction.","We can't issue a refund transaction because there is no capture transaction."
"We cannot create a target file for reading reports.","We cannot create a target file for reading reports."
"Report Date",报告日期
"Merchant Account",银行帐户
"Transaction ID",交易ID
"Invoice ID",发票ID
"PayPal Reference ID",PayPal推荐ID
"PayPal Reference ID Type",PayPal推荐ID类型
"Event Code",事件代码
"Finish Date","Finish Date"
"Debit or Credit",借记卡或信用卡
"Gross Amount",总额
"Fee Debit or Credit",借记卡或信用卡费用
"Fee Amount",费率
"Order ID","订单 ID"
"Subscription ID",订阅ID
"Preapproved Payment ID",预审核的支付ID
Credit,信用
Debit,借记
"General: received payment of a type not belonging to the other T00xx categories",常规：一种不属于其他T00xx分类的支付收款
"Mass Pay Payment",大量付款支付。
"Subscription Payment, either payment sent or payment received",订阅支付，可通过发出或收到的付款进行
"Preapproved Payment (BillUser API), either sent or received","预审核接收或发送的支付（BillUser API）"
"eBay Auction Payment",eBay拍卖付款
"Direct Payment API",直接支付API
"Express Checkout APIs",快速结账API
"Website Payments Standard Payment",网站支付标准版付款
"Postage Payment to either USPS or UPS",USPS或UPS的运费
"Gift Certificate Payment: purchase of Gift Certificate",礼品券支付：购买礼品券
"Auction Payment other than through eBay",eBay之外的其他拍卖支付
"Mobile Payment (made via a mobile phone)",移动支付（通过手机进行）
"Virtual Terminal Payment",虚拟终端支付
"General: non-payment fee of a type not belonging to the other T01xx categories",常规：一种不属于其他T01xx分类的非支付费用
"Fee: Web Site Payments Pro Account Monthly",费用：专业帐户月度网站支付
"Fee: Foreign ACH Withdrawal",费用：外国ACH撤销
"Fee: WorldLink Check Withdrawal",费用：WorldLink支票撤销
"Fee: Mass Pay Request",费用：批量付款请求
"General Currency Conversion",常规货币转换
"User-initiated Currency Conversion",用户发起的货币转换
"Currency Conversion required to cover negative balance",货币转换需要考虑余额负值
"General Funding of PayPal Account ",PayPal帐户的常规退款
"PayPal Balance Manager function of PayPal account",PayPal帐户的PayPal余额管理器功能
"ACH Funding for Funds Recovery from Account Balance",来自帐户余额的返款恢复ACH返款
"EFT Funding (German banking)",EFT返款（德国银行）
"General Withdrawal from PayPal Account",来自PayPal帐户的常规撤销
AutoSweep,自动清理
"General: Use of PayPal account for purchasing as well as receiving payments",常规：使用PayPal帐户进行付款以及收款
"Virtual PayPal Debit Card Transaction",虚拟PayPal借记卡交易
"PayPal Debit Card Withdrawal from ATM",从ATM进行PayPal借记卡撤销
"Hidden Virtual PayPal Debit Card Transaction",隐藏虚拟PayPal借记卡交易
"PayPal Debit Card Cash Advance",PayPal借记卡预付现金
"General: Withdrawal from PayPal Account",常规：通过PayPal帐户撤销
"General (Purchase with a credit card)",常规（使用信用卡购买）
"Negative Balance",逆差
"General: bonus of a type not belonging to the other T08xx categories",常规：通过一种不再属于其他T08xx类型的奖励
"Debit Card Cash Back",借记卡返现
"Merchant Referral Bonus",银行推荐奖励
"Balance Manager Account Bonus",余额管理器帐户点数
"PayPal Buyer Warranty Bonus",PayPal买家担保津贴
"PayPal Protection Bonus",PayPal保护津贴
"Bonus for first ACH Use",首次使用ACH奖励
"General Redemption",常规兑换
"Gift Certificate Redemption",礼品券兑换
"Points Incentive Redemption",兑换奖励点
"Coupon Redemption",代金券兑换
"Reward Voucher Redemption",奖励兑换
"General. Product no longer supported",常规。产品不在被支持
"General: reversal of a type not belonging to the other T11xx categories",常规：不属于其他T11xx分类的保留类型
"ACH Withdrawal",ACH撤销
"Debit Card Transaction",借记卡交易
"Reversal of Points Usage",点数使用情况撤销
"ACH Deposit (Reversal)",ACH保证金（撤销）
"Reversal of General Account Hold",常规帐户保持的撤销
"Account-to-Account Payment, initiated by PayPal",帐户到帐户支付，由PayPal开创
"Payment Refund initiated by merchant",由商户发起的支付退款
"Fee Reversal",撤销手续费
"Hold for Dispute Investigation",保留做争议调查
"Reversal of hold for Dispute Investigation",撤销保留的争议调查
"General: adjustment of a type not belonging to the other T12xx categories",常规：调整为一种不再属于其他T12xx分类的类型
Reversal,撤销
Charge-off,收取
Incentive,奖励
"Reimbursement of Chargeback",退款的偿还
"General (Authorization)",常规（身份验证）
Reauthorization,撤销授权
Void,无效
"General (Dividend)",常规（利息）
"General: temporary hold of a type not belonging to the other T15xx categories",常规：不属于其他T15xx分类的暂时保留类型
"Open Authorization",开放授权
"ACH Deposit (Hold for Dispute or Other Investigation)",ACH保证金（用作保证或其他调查用途）
"Available Balance",可用余额
Funding,退款
"General: Withdrawal to Non-Bank Entity",常规：通过非银行实体撤销
"WorldLink Withdrawal",WorldLink撤销
"Buyer Credit Payment",买家信用支付
"General Adjustment without businessrelated event",与业务无关的常规调整
"General (Funds Transfer from PayPal Account to Another)",常规（从一个PayPal帐户向另一个转移资金）
"Settlement Consolidation",合并处理
"General: event not yet categorized",常规：事件尚未分类
"The PayPal certificate file is empty.","The PayPal certificate file is empty."
"Every 3 days",每3天
"Every 7 days",每7天
"Every 10 days",每10天
"Every 14 days",每14天
"Every 30 days",每30天
"Every 40 days",每40天
"No Logo",没有标示
"Pending PayPal",挂起的PayPal
"Billing Agreement",记账协议
"Created At","Created At"
"Updated At","Updated At"
"-- Please Select Billing Agreement--","-- 请选择记账协议 --"
"Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more.","Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more."
"Important: ","Important: "
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Agreement Information","Agreement Information"
"Reference ID:","Reference ID:"
Status:,Status:
Created:,Created:
Updated:,Updated:
"Payment Method:","Payment Method:"
"Ship To","Ship To"
"Back to Billing Agreements",返回记账协议
"There are no billing agreements yet.",尚无记账协议。
"New Billing Agreement",新建记账协议
"You will be redirected to the payment system website.","You will be redirected to the payment system website."
Create...,Create...
"Your billing agreement # is: %1.","Your billing agreement # is: %1."
"Review Order",查看订单
"Items in Your Shopping Cart",您购物车中的商品
"Edit Shopping Cart",编辑购物车
"Update Order Data",更新订单数据
"Same as shipping",与配送地址相同
"Please select a shipping method...",请选择送货方法...
"Please update order data to get shipping methods and rates",请更新订单数据，获取配送方式和价格
"Checkout with PayPal",使用PayPal结账
"Please do not refresh the page until you complete payment.",请不要刷新该页面，直到付款完成。
"You will be required to enter your payment details after you place an order.",下单后，您需要输入付款详情。
"Additional Options",其他选项
"Update Shipping Method","Update Shipping Method"
"Change Payment Method","Change Payment Method"
"Payer Email: %1","Payer Email: %1"
"Acceptance Mark",接受标志
"What is PayPal?",什么是PayPal？
"Sign a billing agreement to streamline further purchases with PayPal.",与PayPal签署记账协议简化后续购买。
"Sorry, something went wrong.","Sorry, something went wrong."
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
