Custom,Personnalisé
"PayPal Express Checkout is not enabled.","PayPal Express Checkout is not enabled."
"Please re-enable the previously enabled payment solutions.","Please re-enable the previously enabled payment solutions."
"View Demo","Voir démo"
"You will be redirected to the PayPal website.","Vous serez redirigé vers le site de Paypal."
"Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?","Would you like to sign a billing agreement ' 'to streamline further purchases with PayPal?"
"You will be redirected to the PayPal website when you place an order.","Vous serez redirigé vers le site de PayPal quand vous effectuerez une commande."
"Click here if you are not redirected within 10 seconds.","Click here if you are not redirected within 10 seconds."
"You will be redirected to the PayPal website in a few seconds.","Vous serez redirigé vers le site web de Paypal dans quelques secondes."
"You canceled the billing agreement.","You canceled the billing agreement."
"We could not cancel the billing agreement.","We could not cancel the billing agreement."
"You deleted the billing agreement.","You deleted the billing agreement."
"We could not delete the billing agreement.","We could not delete the billing agreement."
"Please specify the correct billing agreement ID and try again.","Please specify the correct billing agreement ID and try again."
"View Transaction","Voir la transaction"
"We found nothing to fetch because of an empty configuration.","We found nothing to fetch because of an empty configuration."
"We fetched %1 report rows from '%2@%3'.","We fetched %1 report rows from '%2@%3'."
"We couldn't fetch reports from '%1@%2'.","We couldn't fetch reports from '%1@%2'."
"Billing Agreement # %1","Billing Agreement # %1"
"We couldn't start the billing agreement wizard.","We couldn't start the billing agreement wizard."
"The billing agreement ""%1"" has been created.","The billing agreement ""%1"" has been created."
"We couldn't finish the billing agreement wizard.","We couldn't finish the billing agreement wizard."
"The billing agreement ""%1"" has been canceled.","The billing agreement ""%1"" has been canceled."
"We couldn't cancel the billing agreement.","We couldn't cancel the billing agreement."
"To proceed to Checkout, please log in using your email address.","To proceed to Checkout, please log in using your email address."
"We can't start Express Checkout.","We can't start Express Checkout."
"Express Checkout and Order have been canceled.","Le contrôle express et la commande ont été annulés."
"Express Checkout has been canceled.","Le contrôle express a été annulé."
"Unable to cancel Express Checkout","Unable to cancel Express Checkout"
"We can't process Express Checkout approval.","We can't process Express Checkout approval."
"We can't initialize Express Checkout review.","We can't initialize Express Checkout review."
"We can't update shipping method.","We can't update shipping method."
"We can't update Order data.","We can't update Order data."
"We can't place the order.","We can't place the order."
"We can't initialize Express Checkout.","We can't initialize Express Checkout."
"PayPal Express Checkout Token does not exist.","Le mot de vérification du paiement express via Paypal n'existe pas."
"A wrong PayPal Express Checkout Token is specified.","A wrong PayPal Express Checkout Token is specified."
"Your payment has been declined. Please try again.","Your payment has been declined. Please try again."
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway."
"PayPal response hasn't required fields.","La réponse PayPal n'a pas les champs obligatoires."
"Something went wrong while processing your order.","Something went wrong while processing your order."
"The PayPal gateway has rejected this request. %1","The PayPal gateway has rejected this request. %1"
"PayPal gateway rejected the request. %1","PayPal gateway rejected the request. %1"
"The payment method code is not set.","The payment method code is not set."
"The reference ID is not set.","The reference ID is not set."
"Unable to save Billing Agreement:","Impossible d'enregistrer l'accord de facturation :"
"The customer ID is not set.","The customer ID is not set."
"The Billing Agreement status is not set.","The Billing Agreement status is not set."
"The PayPal certificate does not exist.","The PayPal certificate does not exist."
"We prefer PayPal (150 X 60)","Nous préférons PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Nous préférons Paypal (150 X 40)"
"Now accepting PayPal (150 X 60)","PayPal désormais accepté (150 X 60)"
"Now accepting PayPal (150 X 40)","Accepte maintenant PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Paiements par PayPal (150 X 60)"
"Payments by PayPal (150 X 40)","Paiements par PayPal (150 X 40)"
"Shop now using (150 X 60)","Boutique utilisant maintenant (150 X 60)"
"Shop now using (150 X 40)","Faites vos achats en utilisant (150 X 40)"
Shortcut,Raccourci
"Acceptance Mark Image","Image de marque d'acceptance"
Sale,Vente
"For Virtual Quotes Only","Pour les devis virtuels uniquement"
Auto,Automatique
"Ask Customer","Demander au client"
"IPN (Instant Payment Notification) Only","IPN (Instant Payment Notification) Only"
"API Signature","Signature API"
"API Certificate","Certificat API"
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","We'll authorize the amount of %1 as soon as the payment gateway approves it."
"The authorized amount is %1.","The authorized amount is %1."
"The maximum number of child authorizations is reached.","Le nombre maximum d'autorisations pour enfant est atteint."
"PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process.","PayPal can't process orders with a zero balance due. ' 'To finish your purchase, please go through the standard checkout process."
"Payer is not identified.","Le payeur n'est pas identifié."
"Last Transaction ID","Dernier identifiant de transaction"
"This customer did not include a confirmed address.","This customer did not include a confirmed address."
"The payment is authorized but not settled.","Le paiement est autorisé mais pas encore réglé."
"The payment eCheck is not yet cleared.","Le paiement eCheck n'est pas encore validé."
"The merchant holds a non-U.S. account and does not have a withdrawal mechanism.","The merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"The payment currency does not match any of the merchant's balances currency.","The payment currency does not match any of the merchant's balances currency."
"The payment is pending while it is being reviewed by PayPal for risk.","Le paiement est en attente alors qu'il est actuellement examiné par PayPal pour le risque."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Le paiement est en attente car il a été fait vers une adresse qui n'est pas encore enregistrée ou confirmée."
"The merchant account is not yet verified.","Le compte du vendeur n'est pas vérifié."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Le paiement a été effectué via carte de crédit. Afin de recevoir les fonds, le vendeur doit obtenir un compte Business ou Premier."
"Sorry, but something went wrong. Please contact PayPal customer service.","Sorry, but something went wrong. Please contact PayPal customer service."
"A reversal has occurred on this transaction due to a chargeback by your customer.","A reversal has occurred on this transaction due to a chargeback by your customer."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","A reversal has occurred on this transaction due to your customer triggering a money-back guarantee."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","A reversal has occurred on this transaction due to a complaint about the transaction from your customer."
"A reversal has occurred on this transaction because you have given the customer a refund.","A reversal has occurred on this transaction because you have given the customer a refund."
"Reversal of an adjustment.","Annulation d'un ajustement."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Reimbursement for a chargeback.","Remboursement pour un rejet de débit."
"Settlement of a chargeback.","Accord de remboursement."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof."
"Buyer claims that he did not receive goods or service.","Buyer claims that he did not receive goods or service."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Buyer claims that the goods or service received differ from merchant’s description of the goods or service."
"Buyer claims that he/she did not authorize transaction.","Buyer claims that he/she did not authorize transaction."
"A case that has been resolved and close requires a reimbursement.","A case that has been resolved and close requires a reimbursement."
"Buyer claims that a possible duplicate payment was made to the merchant.","Buyer claims that a possible duplicate payment was made to the merchant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Buyer claims that the received merchandise is unsatisfactory, defective, or damaged."
"Unknown reason. Please contact PayPal customer service.","Raison inconnue. Veuillez contacter le service client de PayPal."
"Payer ID","ID du payeur"
"Payer Email","E-mail du payeur"
"Payer Status","Statut du payeur"
"Payer Address ID","Identifiant de l'adresse de l'acheteur"
"Payer Address Status","Statut d'adresse du payeur"
"Merchant Protection Eligibility","Eligibilité de protection marchande"
"Triggered Fraud Filters","A déclenché les détecteurs de fraude"
"Last Correlation ID","Dernier identifiant en corrélation"
"Address Verification System Response","Réponse du système à la vérification d'adresse"
"CVV2 Check Result by PayPal","Résultats de chèque CVV2 via Paypal"
"Buyer's Tax ID","Identification fiscale de l'acheteur"
"Buyer's Tax ID Type","Type d'identification fiscale de l'acheteur"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"PayPal/Centinel Electronic Commerce Indicator","Indicateur de commerce électronique de Paypal."
Chargeback,"Frais de retour"
Complaint,Complaint
Dispute,Dispute
"Matched Address only (no ZIP)","Adresse correspondante uniquement (pas de ZIP)"
"Matched Address only (no ZIP) International","Matched Address only (no ZIP) International"
"No Details matched","Pas de détails correspondants"
"No Details matched. International","Pas de détail trouvé. International"
"Exact Match. Address and nine-digit ZIP code","Correspondance exacte. Adresse et code postal ZIP à neuf chiffres"
"Exact Match. Address and Postal Code. International","Correspondance exacte. Adresse et code postal. International"
"Exact Match. Address and Postal Code. UK-specific","Correspondance exacte. Adresse et code postal. Spécifique à la Grande Bretagne"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Non autorisé pour des transactions MOTO (Internet / Téléphone)"
"N/A. Global Unavailable","N/A. Indisponible"
"N/A. International Unavailable","N/A. International indisponible."
"Matched five-digit ZIP only (no Address)","ZIP à 5 chiffres  correspondant uniquement (pas d'adresse)"
"Matched Postal Code only (no Address)","Code postal correspondant uniquement (pas d'adresse)"
"N/A. Retry","N/A. Réessayez"
"N/A. Service not Supported","N/A. Le service n'est pas pris en charge"
"N/A. Unavailable","N/A. Indisponible."
"Matched whole nine-didgit ZIP (no Address)","ZIP complet à 9 chiffres  correspondant uniquement (pas d'adresse)"
"Yes. Matched Address and five-didgit ZIP","Oui. Adresse correspondante et ZIP à 5 chiffres"
"All the address information matched","Toutes les informations de l'adresse correspondent"
"None of the address information matched","Aucune des informations de l'adresse ne correspondait."
"Part of the address information matched","Une partie des informations de l'adresse correspond"
"N/A. The merchant did not provide AVS information","N/A. Le commerçant n'a pas fourni d'information AVS"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Adresse non spécifiée, ou pas de réponse. Service non disponible."
"Matched (CVV2CSC)","Assorti (CVV2CSC)"
"No match","Aucune correspondance"
"N/A. Not processed","N/A. Non effectué."
"N/A. Service not supported","N/A. Appareil non supporté"
"N/A. Service not available","N/A. Service non disponible."
"N/A. No response","N/A Pas de réponse"
"Matched (CVV2)","Correspondance (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Le vendeur n'a pas implémenté la gestion du code CVV2"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Le vendeur a indiqué que ce CVV2 n'est pas présent."
"Authenticated, Good Result","Authentifié, bon résultat"
"Authenticated, Bad Result","Authentifié, mauvais résultat"
"Attempted Authentication, Good Result","Essai d'authentification, bon résultat"
"Attempted Authentication, Bad Result","Essai d'authentification, mauvais résultat"
"No Liability Shift","Pas de transfert de responsabilité"
"Issuer Liability","Responsabilité de l'émetteur"
CNPJ,CNPJ
CPF,CPF
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4"""
"You notified customer about creditmemo #%1.","You notified customer about creditmemo #%1."
"Created billing agreement #%1.","Created billing agreement #%1."
"We couldn't create a billing agreement for this order.","We couldn't create a billing agreement for this order."
"Payflow PNREF: #%1.","Payflow PNREF: #%1."
"Fetch transaction details method does not exists in Payflow","Fetch transaction details method does not exists in Payflow"
"We cannot send the new order email.","We cannot send the new order email."
"You cannot void a verification transaction.","You cannot void a verification transaction."
"Payment transactions disallow storing objects.","Les transactions de paiement ne permettent pas le stockage d'objets."
"You need to enter a transaction ID.","You need to enter a transaction ID."
"This operation requires an existing transaction object.","Cette opération nécessite un objet de transaction existant."
"You need an authorization transaction to void.","You need an authorization transaction to void."
"We can't issue a refund transaction because there is no capture transaction.","We can't issue a refund transaction because there is no capture transaction."
"We cannot create a target file for reading reports.","We cannot create a target file for reading reports."
"Report Date","Date du rapport"
"Merchant Account","Compte du vendeur"
"Transaction ID","ID de la transaction"
"Invoice ID","Identifiant de la facture"
"PayPal Reference ID","Identifiant de référence Paypal"
"PayPal Reference ID Type","Type d'identifiant de référence Paypal"
"Event Code","Code de l'évènement"
"Finish Date","Finish Date"
"Debit or Credit","Débit ou crédit"
"Gross Amount","Montant brut"
"Fee Debit or Credit","Frais de débit ou crédit"
"Fee Amount","Montant des frais"
"Order ID","Identifiant commande"
"Subscription ID","Identifiant de l'inscrit"
"Preapproved Payment ID","Identifiant du paiement pré-approuvé"
Credit,Crédit
Debit,Débit
"General: received payment of a type not belonging to the other T00xx categories","Général : paiement reçu ne correspondant pas aux autres catégories T01xx"
"Mass Pay Payment","Paiement de masse"
"Subscription Payment, either payment sent or payment received","Paiement de l'abonnement, paiement envoyé ou paiement reçu"
"Preapproved Payment (BillUser API), either sent or received","Paiement préapprouvés (API facture utilisateur), envoyé ou reçu"
"eBay Auction Payment","Paiement d'enchères eBay"
"Direct Payment API","Paiement direct via l'API"
"Express Checkout APIs","APIs de paiement Express"
"Website Payments Standard Payment","Paiement site paiement standard"
"Postage Payment to either USPS or UPS","Envoi d'un paiement à USPS ou UPS"
"Gift Certificate Payment: purchase of Gift Certificate","Paiement du certificat de cadeau : acheter un certificat de cadeau"
"Auction Payment other than through eBay","Paiement des enchères autres que via eBay"
"Mobile Payment (made via a mobile phone)","Paiement mobile (effectué via un téléphone mobile)"
"Virtual Terminal Payment","Terminal de paiement virtuel"
"General: non-payment fee of a type not belonging to the other T01xx categories","Général : frais de non paiement ne correspondant pas aux catégories T01xx"
"Fee: Web Site Payments Pro Account Monthly","Frais : compte mensuelle de sites web pro"
"Fee: Foreign ACH Withdrawal","Frais : virement à l'étranger"
"Fee: WorldLink Check Withdrawal","Frais : virement Worldlink"
"Fee: Mass Pay Request","Frais : requête de paiement de masse"
"General Currency Conversion","Conversion de monnaie"
"User-initiated Currency Conversion","Conversion de devise initiée par l'utilisateur"
"Currency Conversion required to cover negative balance","Conversion de monnaie nécessaire pour compenser balance négative"
"General Funding of PayPal Account ","Fonds du compte Paypal"
"PayPal Balance Manager function of PayPal account","Fonction de gestion de la balance de votre compte Paypal"
"ACH Funding for Funds Recovery from Account Balance","Fonds ACH pour récupération de fonds depuis la balance du compte"
"EFT Funding (German banking)","Fonds EFT (banque allemande)"
"General Withdrawal from PayPal Account","Virement général depuis le compte Paypal"
AutoSweep,"Emporter automatiquement"
"General: Use of PayPal account for purchasing as well as receiving payments","Général : Utilisation du compte Paypal pour acheter et recevoir des paiements"
"Virtual PayPal Debit Card Transaction","Transaction via carte de débit virtuelle Paypal"
"PayPal Debit Card Withdrawal from ATM","Retrait depuis distributeur automatique à partir d'une carte de débit Paypal"
"Hidden Virtual PayPal Debit Card Transaction","Transaction cachée via carte de débit Paypal"
"PayPal Debit Card Cash Advance","Avance de fonds carte de débit PayPal"
"General: Withdrawal from PayPal Account","Général : virement depuis le compte Paypal."
"General (Purchase with a credit card)","Général (commande via carte de crédit)"
"Negative Balance","Solde négatif"
"General: bonus of a type not belonging to the other T08xx categories","Général : bonus d'un type ne correspondant pas aux autres catégories T08xx"
"Debit Card Cash Back","Remboursement carte de débit."
"Merchant Referral Bonus","Bonus de parrainage d'un vendeur"
"Balance Manager Account Bonus","Bonus de la balance du manager"
"PayPal Buyer Warranty Bonus","Bonus Garantie Acheteur PayPal"
"PayPal Protection Bonus","Bonus de protection Paypal"
"Bonus for first ACH Use","Bonus pour première utilisation de l'ACH"
"General Redemption","Remboursement général"
"Gift Certificate Redemption","Obtenir annulation du certificat de cadeau"
"Points Incentive Redemption","Remboursement de prime de points"
"Coupon Redemption","Annulations de coupons"
"Reward Voucher Redemption","Remboursement bon de récompense"
"General. Product no longer supported","Général. Produit plus supporté."
"General: reversal of a type not belonging to the other T11xx categories","Général : annulation d'un type ne correspondant pas aux autres catégories T11xx"
"ACH Withdrawal","Virement ACH"
"Debit Card Transaction","Transaction via carte de débit."
"Reversal of Points Usage","Reprise de l'utilisation des points"
"ACH Deposit (Reversal)","Dépôt ACH (annulation)"
"Reversal of General Account Hold","Annulation de l'attente du compte"
"Account-to-Account Payment, initiated by PayPal","Paiement compte-à-compte, initié par PayPal"
"Payment Refund initiated by merchant","Remboursement de paiement initié par le marchand"
"Fee Reversal","Annulation des frais"
"Hold for Dispute Investigation","Retenir pour enquête du litige"
"Reversal of hold for Dispute Investigation","Reprise de l'immobilisation pour enquête sur la contestation"
"General: adjustment of a type not belonging to the other T12xx categories","Général : ajustement à un type ne correspondant pas aux autres catégories T12xx"
Reversal,Reprise
Charge-off,Radiés
Incentive,Motivation
"Reimbursement of Chargeback",Remboursement.
"General (Authorization)","Général (autorisation)"
Reauthorization,Réautorisation
Void,Annuler
"General (Dividend)","Générale (dividendes)"
"General: temporary hold of a type not belonging to the other T15xx categories","Général : blocage temporaire d'un type ne correspondant pas aux catégories T15xx"
"Open Authorization","Autorisation ouverte"
"ACH Deposit (Hold for Dispute or Other Investigation)","Dépôt ACH (bloquer pour litige ou autre enquête)"
"Available Balance","Solde disponible"
Funding,Fonds
"General: Withdrawal to Non-Bank Entity","Général : virement vers une entité non-bancaire"
"WorldLink Withdrawal","Virement WorldLink"
"Buyer Credit Payment","Paiement acheteur"
"General Adjustment without businessrelated event","Ajustement général avec les évènements liés au commerce"
"General (Funds Transfer from PayPal Account to Another)","Général (transfert de fonds d'un compte Paypal à un autre)"
"Settlement Consolidation","Consolidation de l'accord."
"General: event not yet categorized","Général : évènement n'appartenant à aucune catégorie"
"The PayPal certificate file is empty.","The PayPal certificate file is empty."
"Every 3 days","Tous les 3 jours"
"Every 7 days","Tous les 7 jours"
"Every 10 days","Tous les 10 jours"
"Every 14 days","Tous les 14 jours"
"Every 30 days","Tous les 30 jours"
"Every 40 days","Tous les 40 jours"
"No Logo","Pas de logo"
"Pending PayPal","PayPal en attente"
"Billing Agreement","Accord de facturation"
"Created At","Created At"
"Updated At","Updated At"
"-- Please Select Billing Agreement--","-- Veuillez sélectionner un accord de facturation--"
"Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more.","Not sure what PayPal payment method to use? Click <a href=""%1"" target=""_blank"">here</a> to learn more."
"Important: ","Important: "
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below"
"Agreement Information","Agreement Information"
"Reference ID:","Reference ID:"
Status:,Status:
Created:,Created:
Updated:,Updated:
"Payment Method:","Payment Method:"
"Ship To","Ship To"
"Back to Billing Agreements","Retour aux accords de facturation"
"There are no billing agreements yet.","Il n'y a pas encore d'accord de facturation"
"New Billing Agreement","Nouvel Accord de Facturation"
"You will be redirected to the payment system website.","You will be redirected to the payment system website."
Create...,Create...
"Your billing agreement # is: %1.","Your billing agreement # is: %1."
"Review Order","Vérification de la commande"
"Items in Your Shopping Cart","Objets dans votre panier"
"Edit Shopping Cart","Modifier le panier"
"Update Order Data","Mettre à jour les données de la commande"
"Same as shipping","Identique à l'adresse de livraison"
"Please select a shipping method...","Veuillez sélectionner un mode d'expédition..."
"Please update order data to get shipping methods and rates","Veuillez mettre à jour les données de la commande afin d'obtenir les modes et tarifs d'envoi"
"Checkout with PayPal","Commander avec PayPal"
"Please do not refresh the page until you complete payment.","Merci de ne pas actualiser cette page avant la finalisation du paiement."
"You will be required to enter your payment details after you place an order.","Vous devrez saisir vos informations de paiement après avoir passé une commande."
"Additional Options","Options additionnelles"
"Update Shipping Method","Update Shipping Method"
"Change Payment Method","Change Payment Method"
"Payer Email: %1","Payer Email: %1"
"Acceptance Mark","Marque d'acceptance"
"What is PayPal?","Qu'est-ce que Paypal?"
"Sign a billing agreement to streamline further purchases with PayPal.","Signez un accord de facture pour continuer vos achats via Paypal."
"Sorry, something went wrong.","Sorry, something went wrong."
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
