"%s (Default Template from Locale)","%s (Standardvorlage aus Sprachversion)"
"Enable Printed Templates","Aktivieren"
"Fax","Fax"
"First Name","Vorname"
"Fixed Product Tax Amount","Festgelegte Steuer für das Produkt"
"Flat Rate - Fixed","Flatrate - Fest"
"Font Family","Schriftart"
"Font Size","Schritgröße"
"Footer Height","Footer-Höhe"
"Footer Height Measure","Höhe der Fußzeile messen"
"General","Allgemein"
"Gift Cards Block","Geschenkgutschein-Block"
"Gift Cards Block in Base Currency","Geschenkgutschein-Block in Basiswährung"
"Global Currency Code","Globaler Währungscode"
"Grand Total","Gesamtsumme"
"Grand Total Without Tax","Gesamtbetrag ohne Steuern"
"Grand Total Without Tax Without Discount Tax","Gesamtbetrag ohne Steuern ohne Steuerermäßigung"
"Grand Total with Tax","Gesamtbetrag mit Steuern"
"HTC Touch Diamond","HTC Touch Diamond"
"Header Height","Header-Höhe"
"Header Height Measurement","Höhe der Kopfzeile messen"
"Hill","Höhe"
"ID","ID"
"Info Block","Info-Block"
"Insert Footer Separator","Trennzeichen für Fußzeile einfügen"
"Insert Header Separator","Trennzeichen für Kopfzeile einfügen"
"Insert Variable...","Variable einfügen..."
"Insert the grid with items for current template type","Raster mit Artikeln für aktuellen Vorlagentyp einfügen."
"Insert the grid with tax information for current template type.","Raster mit Steuerinformationen für aktuellen Vorlagentyp einfügen."
"Invoice","Rechnung"
"Invoice Shipping Amount","Rechnung Versandsumme"
"Invoiced Balance Amount","Berechneter Saldo Summe"
"Invoiced Discount Amount","Berechneter Rabatt Summe"
"Invoiced Subtotal Amount Without Tax","Berechnete Zwischensumme ohne Steuern"
"Invoiced Tax Amount","Berechnete Steuer Summe"
"Is customer guest","Ist der Kunde Gast"
"Italic","Kursiv"
"Item row","Artikel Zeile"
"Items Grid","Artikel Raster"
"J.","J."
"K.","K."
"Keyboard","Tastatur"
"Last Name","Letzter Name"
"Load Template","Vorlage laden"
"Logitech diNovo Edge Keyboard","Logitech diNovo Edge Tastatur"
"Magento","Magento"
"Main Website\nMain Store\nEnglish","Hauptwebsite\nHauptstore\nEnglisch"
"Memory","Speicher"
"Method Code","Methode Code"
"Method Name","Methode Name"
"Middle Name","Zweiter Vorname"
"Middle Name/Initial","Zweiter Vorname/Initialen"
"Mrs.","Frau"
"Negative Adjustment","Negative Anpassung"
"Negative Adjustment Amount","Negative Anpassung Summe"
"New Printed Template","Neue gedruckte Vorlage"
"New Template","Neue Vorlage"
"Nine West Women's Lucero Pump","Nine West Lucero Pumps für Damen"
"Nine West Women\'s Lucero Pump","Nine West Lucero Pumps für Damen"
"No Templates Found","Keine Vorlagen gefunden"
"Number","Nummer"
"Option","Option"
"Order","Bestellung"
"Order Currency Code","Bestellung Währungscode"
"PDF Print-outs","PDF-Ausdrucke"
"PDF aggregator hasn't been found.","Der PDF-Aggregator konnte nicht gefunden werden."
"PDF renderer adapter hasn't been found.","Der PDF-Renderer-Adapter konnte nicht gefunden werden."
"Page Number","Seitenzahl"
"Page Orientation","Seitenausrichtung"
"Page Size","Seitengröße"
"Pages Quantity","Seitenanzahl"
"Payment Information","Zahlungsinformationen"
"Please make sure that popups are allowed.","Bitte gehen Sie sicher, dass Popups erlaubt sind."
"Please select entities to print.","Bitte wählen Sie die Einheiten aus, die ausgedruckt werden sollen."
"Please select orders to print.","Bitte wählen Sie die Bestellungen aus, die gedruckt werden sollen."
"Position","Position"
"Positive Adjustment","Positive Anpassung"
"Positive Adjustment Amount","Positive Anpassung Summe"
"Prefix","Präfix"
"Preview HTML","HTML-Vorschau"
"Preview PDF","PDF-Vorschau"
"Price","Preis"
"Price with Discount","Preis mit Rabatt"
"Price with Discount Excluding Tax","Preis mit Rabatt ohne Steuern"
"Price with Tax","Preis mit Steuern"
"Price with taxes","Preis mit Steuern"
"Printed Credit Memo","Gedruckte Gutschrift"
"Printed Invoice","Gedruckte Rechnung"
"Printed Shipment","Gedruckter Versandauftrag"
"Printed Shipment Template","Gedruckte Versandauftragsvorlage"
"Printed Template","Druckvorlage"
"Printed Template Preview","Vorschau der Druckvorlage"
"Printed Templates","Druckvorlagen"
"Product Name","Produktbezeichnung"
"Product SKU","Produkt-SKU"
"Quantity","Anzahl"
"Ramona","Ramona"
"RamonaKHill@teleworm.com","RamonaKHill@teleworm.com"
"Recipient of Gift Message","Empfänger der Geschenknachricht"
"Refunded Balance Amount","Erstatteter Betrag Summe"
"Refunded Customer Balance","Erstatteter Kundensaldo"
"Refunded Discount Amount","Erstatteter Rabatt Summe"
"Refunded Shipping Amount","Zurückerstatteter Versandbetrag"
"Refunded Subtotal Amount Without Tax","Zurückerstattete Zwischensumme ohne Steuern"
"Refunded Tax Amount","Zurückerstatteter Steuerbetrag"
"Reset","Zurücksetzen"
"Save","Speichern"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Select Template Type","Vorlagentyp auswählen"
"Sender of Gift Message","Absender der Geschenknachricht"
"Shipment","Lieferung"
"Shipping Address","Lieferadresse"
"Shipping Amount Including Tax","Versandbetrag mit Steuern"
"Shipping Amount Without Tax","Versandbetrag ohne Steuern"
"Shipping Discount Amount","Versandrabatt-Betrag"
"Shipping Excluding Tax","Versand ohne Steuern"
"Shipping Including & Excluding Tax","Versand mit & ohne Steuern"
"Shipping Including Tax","Versand inklusive Steuern"
"Shipping Method Description","Beschreibung der Liefermethode"
"Shipping Tax Amount","Versand-Steuerbetrag"
"Shipping Tax Rate","Versand-Steuerrate"
"Shipping Total Amount","Gesamter Versandbetrag"
"Shoe Size","Schuhgröße"
"Sort Order","Sortierfolge"
"State/Region","Bundesland/Region"
"Status","Status"
"Store Currency Code","Shop-Währungscode"
"Store Name","Name des Shops"
"Street","Straße"
"Street Multiline","Mehrzeilige Straße"
"Subtotal","Zwischensumme"
"Subtotal Amount Including Tax","Zwischensumme inklusive Steuern"
"Subtotal Amount WIth Shipping Without Tax","Zwischensumme mit Versand ohne Steuern"
"Subtotal Amount Without Tax","Zwischensumme ohne Steuern"
"Subtotal Excluding Tax","Zwischensumme ohne Steuern"
"Subtotal Including & Excluding Tax","Zwischensumme mit & ohne Steuern"
"Subtotal Including Tax","Zwischensumme inklusive Steuern"
"Subtotal by Tax","Zwischensumme nach Steuer"
"Subtotal with Discount","Zwischensumme mit Rabatt"
"Subtotal with Discount Excluding Tax","Zwischensumme mit Rabatt ohne Steuern"
"Subtotal with Discount and Tax","Zwischensumme mit Rabatt und Steuern"
"Suffix","Suffix"
"System","System"
"Table Header","Tabellen-Kopfzeile"
"Table Row","Tabellenzeile"
"Tax Amount","Steuerbetrag"
"Tax Amount Without Discount","Steuerbetrag ohne Rabatt"
"Tax Grid","Steuer Raster"
"Tax Rate","Steuerrate"
"Tax Rate(s)","Steuerrate(n):"
"Tax Rates","Steuerraten"
"Tax Total","Steuergesamtbetrag"
"Tax/VAT Number","USt-IdNr"
"Telephone","Telefon"
"Template Content","Inhalt der Vorlage"
"Template Information","Vorlageninformation"
"Template Name","Name der Vorlage"
"Template Type","Vorlagentyp"
"Templates","Vorlagen"
"Texas","Texas"
"Text of Gift Message","Text der Geschenknachricht"
"The Printed template has been saved.","Die Druckvorlage wurde gespeichert."
"The printed template has been deleted.","Die Druckvorlage wurde gelöscht."
"The template can contain only one footer separator.","Die Vorlage kann nur einen Fußzeilen-Trenner enthalten."
"The template can contain only one header separator.","Die Vorlage kann nur einen Kopfzeilen-Trenner enthalten."
"There are no printable documents related to selected orders.","Es existieren keine druckfähigen Dokumente zu den ausgewählten Bestellungen."
"This Printed template no longer exists.","Diese Druckvorlage existiert nicht mehr."
"This widget is available only for printed templates.","Dieses Widget ist nur für Druckvorlagen verfügbar."
"Time of Last Update","Zeitpunkt der letzten Aktualisierung"
"Title","Titel"
"Total (ex)","Gesamt (ex)"
"Total (inc)","Gesamtsumme (inkl.)"
"Total Adjustment","Anpassung insgesamt"
"Total Amount Refunded Offline","Zurückerstatteter Gesamtbetrag Offline"
"Total Amount Refunded Online","Zurückerstatteter Gesamtbetrag Online"
"Total Canceled Amount","Gesamte Stornosumme"
"Total Discount (Including Store Credit and Gift Cards)","Gesamtrabatt (inklusive Shopguthaben und Geschenkgutscheinen)"
"Total Discount Amount","Gesamter Rabattbetrag"
"Total Due Amount","Gesamter ausstehender Betrag"
"Total Gift Cards Amount","Gesamtbetrag der Geschenkgutscheine"
"Total Gift Cards Invoiced Amount","Berechnete Gesamtsumme für Geschenkkarten"
"Total Gift Cards Refunded Amount","Gesamter zurückerstatteter Geschenkgutscheinbetrag"
"Total Invoiced Amount","Gesamter berechneter Betrag"
"Total Item Count","Artikelgesamtzahl"
"Total Items Quantity","Gesamtanzahl der Artikel"
"Total Paid","Insgesamt bezahlt"
"Total Refunded Amount","Gesamter zurückerstatteter Betrag"
"Total Refunded Balance Amount","Erstatteter Saldo Gesamtsumme"
"Tracking Numbers","Tracking-Nummern"
"Transactional Emails","Transaktions-E-Mails"
"US","USA"
"Unable to find a Printed Template to delete.","Es konnte keine Druckvorlage zum Löschen gefunden werden."
"Unknown","Unbekannt"
"Used Currently For","Wird derzeit verwendet für"
"Weight","Gewicht"
"Weight Of All Items","Gewicht aller Artikel"
"Width, px","Breite, px"
"Wrong column name specified.","Falscher Spaltenname angegeben"
"Wrong type of PDF aggregator.","Falscher PDF-Aggregatorentyp."
"Wrong type of PDF renderer adapter.","Falscher PDF-Renderer-Adapter-Typ."
"Your Coupon:","Ihr Gutschein:"
"Zero Tax","Keine Steuer"
"Zip Code","PLZ"
"Print","Drucken"
"Add/Edit","Hinzufügen/Bearbeiten"
"Active only when Printed Template module is disabled","Nur aktiv, wenn das Druckvorlagen-Modul deaktiviert ist"
"Load Default Template","Standardvorlage laden"
"Auto Header Height","Automatische Headerhöhe"
"Auto Footer Height","Automatische Footerhöhe"
"Load Sample Template","Beispielvorlage laden"
"Sample Template","Beispielvorlage"
"Template","Vorlage"
"Measues","Maße"
"Millimeters","Millimeter"
"Percents","Prozent"
"Page orientation","Seitenausrichtung"
"Landscape","Querformat"
"Portrait","Hochformat"
"Active only when PDF Print-outs module is disabled.","Nur aktiv bei abgeschaltetem PDF-Ausdruckmodul"
"Sample Template standard","Muster-Vorlagenstandard"
"Magento Standard","Magento-Standard"
"UK Standard","Standard im Vereinigten Königreich"
"French Standard","Französischer Standard"
"German Standard","Deutscher Standard"
"Total Including Tax with Discount","Summe inklusive Steuer mit Ermäßigung"
Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs),Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs)
Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address),Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address)

