"%s (Default Template from Locale)","%s (Formulaire par défaut pour cette zone)"
"22 Sycamore Fork Road","22, Sycamore Fork Road"
"Font Size","Taille de la police de caractères"
"Footer Height","Hauteur du pied de page"
"Footer Height Measure","Mesure de la hauteur en pieds"
"General","Général"
"Gift Cards Block","Bloc des cartes cadeaux"
"Gift Cards Block in Base Currency","Bloc des cartes cadeaux en monnaie de base"
"Global Currency Code","Code de monnaie mondiale"
"Grand Total","Grand total"
"Grand Total Without Tax","Grand total hors-taxes"
"Grand Total Without Tax Without Discount Tax","Grand total hors-taxes sans la taxe préférentielle"
"Grand Total with Tax","Grand total toutes taxes comprises"
"HTC Touch Diamond","HTC Touch Diamond"
"Header Height","Hauteur de l'en-tête"
"Header Height Measurement","Mesure de la hauteur de l'en-tête"
"Hill","Colline"
"ID","ID"
"Info Block","Bloc d'information"
"Insert Footer Separator","Insérer un séparateur de notes de bas de page"
"Insert Header Separator","Insérer un séparateur d'en-têtes"
"Insert Variable...","Insérez une variable"
"Insert the grid with items for current template type","Insérer la grille avec les éléments pour le modèle de formulaire actuel."
"Insert the grid with tax information for current template type.","Insérer la grille avec les informations de taxation pour le formulaire actuel."
"Invoice","Facture"
"Invoice Shipping Amount","Montant de la livraison de la facture"
"Invoiced Balance Amount","Montant du solde facturé"
"Invoiced Discount Amount","Montant de la remise facturée"
"Invoiced Subtotal Amount Without Tax","Montant hors-taxes du sous-total facturé"
"Invoiced Tax Amount","Montant des taxes facturées"
"Is customer guest","Est client invité"
"Italic","Italique"
"Item row","Ligne d'articles"
"Items Grid","Grille d'articles"
"J.","J."
"K.","K."
"Keyboard","Clavier"
"Last Name","Nom de famille"
"Load Template","Charger modèle"
"Logitech diNovo Edge Keyboard","Bordure clavier Logitech diNovo"
"Magento","Magento"
"Main Website\nMain Store\nEnglish","Site principal\nMagasin principal\nAnglais"
"Memory","Mémoire"
"Method Code","Code méthode"
"Method Name","Nom de la méthode"
"Middle Name","Deuxième prénom"
"Middle Name/Initial","Deuxième prénom/Initiale"
"Mrs.","Mme"
"Negative Adjustment","Ajustement négatif"
"Negative Adjustment Amount","Montant de l'ajustement négatif"
"New Printed Template","Nouveau modèle imprimé"
"New Template","Nouveau modèle"
"Nine West Women's Lucero Pump","Nine West Women's Lucero Pump"
"Nine West Women\'s Lucero Pump","Nine West Women\'s Lucero Pump"
"No Templates Found","Pas de modèles trouvés"
"Number","Nombre"
"Option","Option"
"Order","Commande"
"Order Currency Code","Code devise de la commande"
"PDF Print-outs","Impressions PDF"
"PDF aggregator hasn't been found.","L'agrégateur PDF n'a pas été trouvé."
"PDF renderer adapter hasn't been found.","L'adaptateur de rendus PDF n'a pas été trouvé"
"Page Number","Numéro de page"
"Page Orientation","Orientation de la page"
"Page Size","Taille de page"
"Pages Quantity","Quantité de pages"
"Payment Information","Informations de paiement"
"Please make sure that popups are allowed.","Veuillez-vous assurer que votre navigateur ne bloque pas les pop-up."
"Please select entities to print.","Veuillez sélectionner des entités à imprimer."
"Please select orders to print.","Veuillez sélectionner des commandes à imprimer."
"Position","Position"
"Positive Adjustment","Ajustement positif"
"Positive Adjustment Amount","Montant de l'ajustement positif"
"Prefix","Préfixe"
"Preview HTML","Prévisualisation HTML"
"Preview PDF","Prévisualisation PDF"
"Price","Prix"
"Price with Discount","Prix avec réduction"
"Price with Discount Excluding Tax","Prix avec réduction taxes non-incluses"
"Price with Tax","Prix avec taxes"
"Price with taxes","Prix avec taxes"
"Printed Credit Memo","Impression note de crédit"
"Printed Invoice","Reçu imprimé"
"Printed Shipment","Expédition imprimée"
"Printed Shipment Template","Modèle d'expédition imprimé"
"Printed Template","Modèle imprimé"
"Printed Template Preview","Aperçu modèle imprimé"
"Printed Templates","Modèles imprimés"
"Product Name","Nom du produit"
"Product SKU","Référence produit"
"Quantity","Quantité"
"Ramona","Ramona"
"RamonaKHill@teleworm.com","RamonaKHill@teleworm.com"
"Recipient of Gift Message","Destinataire du message cadeau"
"Refunded Balance Amount","Montant du solde remboursé"
"Refunded Customer Balance","Solde client remboursé"
"Refunded Discount Amount","Montant du rabais remboursé"
"Refunded Shipping Amount","Montant de livraison remboursé"
"Refunded Subtotal Amount Without Tax","Montant du sous-total remboursé hors taxes"
"Refunded Tax Amount","Montant de taxes remboursé"
"Reset","Réinitialiser"
"Save","Enregistrer"
"Save And Continue Edit","Sauvegarder et continuer à modifier"
"Select Template Type","Sélectionner un type de modèle"
"Sender of Gift Message","Expéditeur du message cadeau"
"Shipment","Expédition"
"Shipping Address","Adresse d'expédition"
"Shipping Amount Including Tax","Frais de livraison taxes incluses"
"Shipping Amount Without Tax","Frais de livraison hors taxes"
"Shipping Discount Amount","Montant de la remise d'expédition"
"Shipping Excluding Tax","Frais de port hors taxes"
"Shipping Including & Excluding Tax","Frais de port inclus & hors taxes"
"Shipping Including Tax","Frais de port incluant taxes"
"Shipping Method Description","Description méthode de livraison"
"Shipping Tax Amount","Montant de la taxe d'expédition"
"Shipping Tax Rate","Taux de taxe expédition"
"Shipping Total Amount","Montant total expédition"
"Shoe Size","Taille chaussure"
"Sort Order","Trier la commande"
"State/Region","Etat/Région"
"Status","Statut"
"Store Currency Code","Code devise du magasin"
"Store Name","Nom du magasin"
"Street","Rue"
"Street Multiline","Lignes multiples rues"
"Subtotal","Sous-total"
"Subtotal Amount Including Tax","Montant du sous-total taxes incluses"
"Subtotal Amount WIth Shipping Without Tax","Montant du sous-total incluant l'expédition taxes non-incluses"
"Subtotal Amount Without Tax","Montant du sous-total taxes non-incluses"
"Subtotal Excluding Tax","Sous-total taxes non-incluses"
"Subtotal Including & Excluding Tax","Sous-total incluant & excluant les taxes"
"Subtotal Including Tax","Sous-total taxes incluses"
"Subtotal by Tax","Sous-total par taxes"
"Subtotal with Discount","Sous-total avec réduction"
"Subtotal with Discount Excluding Tax","Sous-total avec réduction taxes non-incluses"
"Subtotal with Discount and Tax","Sous-total avec réduction et taxes"
"Suffix","Suffixe"
"System","Système"
"Table Header","Tête de table"
"Table Row","Ligne de table"
"Tax Amount","Montant de la taxe"
"Tax Amount Without Discount","Montant taxes sans réduction"
"Tax Grid","Grille taxes"
"Tax Rate","Taux taxes"
"Tax Rate(s)","Taux taxes"
"Tax Rates","Taux taxes"
"Tax Total","Total taxes"
"Tax/VAT Number","Numéro taxes/TVA"
"Telephone","Téléphone"
"Template Content","Contenu du formulaire"
"Template Information","Formulaire-type d'information"
"Template Name","Nom du formulaire"
"Template Type","Type de modèle"
"Templates","Modèles"
"Texas","Texas"
"Text of Gift Message","Texte du message cadeau"
"The Printed template has been saved.","Le modèle imprimé a été enregistré."
"The printed template has been deleted.","Le modèle imprimé a été effacé."
"The template can contain only one footer separator.","Le modèle peut contenir un seul séparateur de bas de page."
"The template can contain only one header separator.","Le modèle peut contenir un seul séparateur en-tête."
"There are no printable documents related to selected orders.","Il n'y a pas de documents imprimables liées aux commandes sélectionnées."
"This Printed template no longer exists.","Ce modèle imprimé n'existe plus."
"This widget is available only for printed templates.","Ce widget est disponible uniquement pour les modèles imprimés."
"Time of Last Update","Date de la dernière actualisation"
"Title","Titre"
"Total (ex)","Total (ex)"
"Total (inc)","Total (inc)"
"Total Adjustment","Ajustement total"
"Total Amount Refunded Offline","Montant total remboursé hors-ligne"
"Total Amount Refunded Online","Montant total remboursé en ligne"
"Total Canceled Amount","Montant total annulé"
"Total Discount (Including Store Credit and Gift Cards)","Remise totale (y compris crédit du magasin et cartes-cadeaux)"
"Total Discount Amount","Montant de la remise totale"
"Total Due Amount","Montant total dû"
"Total Gift Cards Amount","Montant total des cartes-cadeaux"
"Total Gift Cards Invoiced Amount","Montant total cartes-cadeaux facturé"
"Total Gift Cards Refunded Amount","Montant total cartes-cadeaux remboursé"
"Total Invoiced Amount","Montant total facturé"
"Total Item Count","Nombre total d'articles"
"Total Items Quantity","Quantité totale d'articles"
"Total Paid","Total payé"
"Total Refunded Amount","Montant total remboursé"
"Total Refunded Balance Amount","Montant total du solde remboursé"
"Tracking Numbers","Numéros de suivi"
"Transactional Emails","Emails de transaction"
"US","US"
"Unable to find a Printed Template to delete.","Impossible de trouver un modèle imprimé à supprimer."
"Unknown","Inconnu"
"Used Currently For","Utilisé actuellement pour"
"Weight","Poids"
"Weight Of All Items","Poids de tous les articles"
"Width, px","Largeur, px"
"Wrong column name specified.","Le nom de la colonne spécifiée est incorrect."
"Wrong type of PDF aggregator.","Mauvais type d'agrégateur PDF."
"Wrong type of PDF renderer adapter.","Mauvais type d'adaptateur de rendu PDF."
"Your Coupon:","Votre bon:"
"Zero Tax","Zéro taxes"
"Zip Code","Code postal"
"Print","Imprimer"
"Add/Edit","Ajouter/modifier"
"Active only when Printed Template module is disabled","Actif(-ve) seulement quand le module Modèle imprimé est désactivé"
"Load Default Template","Charger le modèle par défaut"
"Auto Header Height","Hauteur automatique de l'en-tête"
"Auto Footer Height","Hauteur automatique du pied-de-page"
"Load Sample Template","Charger le modèle de démonstration"
"Sample Template","Modèle de démonstration"
"Template","Formulaire"
"Measues","Mesures"
"Millimeters","Millimètres"
"Percents","Pour cents"
"Page orientation","Orientation de la page"
"Landscape","Paysage"
"Portrait","Portrait"
"Active only when PDF Print-outs module is disabled.","Actif seulement quand le module d'impression de PDF est désactivé."
"Sample Template standard","Exemple de modèle de standard"
"Magento Standard","Standard Magento"
"UK Standard","Standard britannique"
"French Standard","Standard français"
"German Standard","Standard allemand"
"Total Including Tax with Discount","Total taxes incluses après réduction"
Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs),Store Logo URL (Configuration -> Sales -> Invoice and Packing Slip Design -> Logo for PDF Print-outs)
Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address),Store Address (Configuration -> Sales -> Invoice and Packing Slip Design -> Address)

